,recipe_id,ingredient
0,0,1
1,0,2
2,0,3
3,0,4
4,0,5
5,0,6
6,0,7
7,0,8
8,0,9
9,0,10
10,0,11
11,0,12
12,0,13
13,0,14
14,1,15
15,1,16
16,1,17
17,1,18
18,1,19
19,1,20
20,1,12
21,1,13
22,1,21
23,1,11
24,1,22
25,2,16
26,2,19
27,2,23
28,2,12
29,2,21
30,2,13
31,2,11
32,2,22
33,2,20
34,3,24
35,3,25
36,3,26
37,3,27
38,3,21
39,3,13
40,3,12
41,3,28
42,3,14
43,3,4
44,4,29
45,4,25
46,4,30
47,4,31
48,4,32
49,4,14
50,4,4
51,4,12
52,4,13
53,4,11
54,4,33
55,4,34
56,4,22
57,5,35
58,5,30
59,5,31
60,5,25
61,5,16
62,5,36
63,5,13
64,5,37
65,5,33
66,5,1525
67,5,4
68,6,38
69,6,30
70,6,25
71,6,31
72,6,12
73,6,13
74,6,21
75,7,39
76,7,31
77,7,30
78,7,25
79,7,14
80,7,4
81,7,21
82,7,13
83,7,12
84,8,40
85,8,27
86,8,25
87,8,31
88,8,12
89,8,21
90,8,13
91,9,2
92,9,30
93,9,31
94,9,25
95,9,41
96,9,12
97,9,13
98,9,14
99,9,34
100,9,21
101,10,42
102,10,43
103,10,17
104,10,44
105,10,12
106,10,13
107,10,21
108,10,11
109,10,22
110,10,45
111,11,46
112,11,31
113,11,16
114,11,17
115,11,47
116,11,48
117,11,12
118,11,21
119,11,14
120,11,4
121,12,38
122,12,43
123,12,17
124,12,44
125,12,12
126,12,13
127,12,14
128,12,21
129,12,22
130,13,49
131,13,50
132,13,4
133,13,14
134,13,12
135,13,11
136,14,51
137,14,52
138,14,53
139,14,54
140,14,20
141,14,14
142,14,55
143,14,21
144,14,10
145,14,12
146,14,13
147,14,56
148,14,11
149,15,57
150,15,19
151,15,22
152,15,14
153,15,4
154,15,13
155,15,12
156,15,58
157,16,17
158,16,19
159,16,59
160,16,22
161,16,21
162,16,13
163,16,12
164,16,14
165,16,4
166,16,58
167,17,4
168,17,14
169,17,55
170,17,60
171,17,61
172,17,12
173,18,62
174,18,63
175,18,64
176,18,65
177,18,66
178,18,67
179,18,68
180,18,69
181,18,70
182,18,71
183,18,72
184,18,73
185,18,74
186,18,75
187,18,76
188,18,13
189,18,12
190,18,14
191,18,4
192,18,21
193,19,77
194,19,39
195,19,12
196,19,13
197,19,21
198,19,11
199,19,14
200,19,4
201,20,46
202,20,78
203,20,20
204,20,12
205,20,13
206,20,11
207,20,21
208,20,4
209,20,14
210,20,22
211,21,2
212,21,79
213,21,55
214,21,14
215,21,21
216,21,13
217,21,12
218,21,20
219,22,80
220,22,81
221,22,82
222,22,83
223,22,4
224,22,14
225,22,12
226,22,11
227,22,13
228,22,22
229,22,34
230,23,84
231,23,4
232,23,14
233,23,85
234,23,86
235,23,87
236,23,88
237,23,89
238,23,90
239,23,91
240,23,4
241,23,14
242,24,92
243,24,93
244,24,94
245,24,48
246,24,44
247,24,25
248,24,95
249,24,79
