,recipe_id,ingredient
0,0,876
1,0,547
2,0,19
3,0,292
4,0,54
5,0,144
6,0,256
7,0,18
8,0,125
9,0,10
10,0,55
11,0,101
12,0,33
13,0,22
14,0,5
15,0,36
16,0,4
17,0,91
18,0,877
19,1,134
20,1,2
21,1,20
22,1,12
23,1,13
24,1,116
25,1,4
26,1,14
27,1,55
28,1,11
29,2,878
30,2,879
31,2,91
32,2,880
33,2,4
34,2,14
35,2,102
36,3,547
37,3,881
38,3,101
39,3,12
40,3,37
41,3,4
42,3,14
43,3,11
44,3,22
45,3,45
46,4,881
47,4,19
48,4,18
49,4,101
50,4,102
51,4,36
52,4,877
53,4,45
54,4,4
55,5,86
56,5,2
57,5,18
58,5,54
59,5,125
60,5,331
61,5,247
62,5,142
63,5,13
64,5,116
65,5,102
66,6,876
67,6,281
68,6,18
69,6,12
70,6,102
71,6,116
72,6,33
73,6,247
74,7,508
75,7,663
76,7,12
77,7,37
78,7,45
79,8,355
80,8,881
81,8,12
82,8,4
83,8,11
84,8,33
85,8,22
86,8,344
87,8,19
88,8,91
89,9,10
90,9,4
91,9,14
92,9,129
93,10,150
94,10,241
95,10,168
96,10,79
97,10,12
98,10,37
99,10,4
100,10,882
101,10,344
102,10,45
103,11,292
104,11,101
105,11,10
106,11,4
107,11,14
108,11,11
109,11,36
110,11,55
111,12,18
112,12,79
113,12,101
114,12,19
115,12,36
116,12,4
117,12,877
118,12,45
119,13,883
120,13,12
121,13,129
122,13,11
123,13,877
124,13,884
125,13,277
126,13,91
127,14,547
128,14,241
129,14,12
130,14,37
131,14,11
132,14,22
133,14,237
134,14,45
135,14,121
136,15,2
137,15,22
138,15,34
139,15,12
140,15,10
141,15,14
142,15,11
143,15,324
144,15,4
145,15,36
146,15,91
147,16,438
148,16,19
149,16,2
150,16,22
151,16,17
152,16,181
153,16,241
154,16,11
155,16,13
156,16,55
157,16,12
158,16,427
159,16,639
160,17,2
161,17,142
162,17,10
163,17,91
164,17,116
165,17,418
166,17,55
167,17,4
168,17,14
169,17,102
170,18,885
171,18,292
172,18,125
173,18,34
174,18,12
175,18,4
176,18,14
177,18,55
178,18,11
179,19,886
180,19,12
181,19,4
182,19,14
183,19,102
184,19,55
185,19,101
186,19,887
187,19,621
188,19,888
189,19,91
190,20,706
191,20,55
192,20,623
193,20,889
194,20,884
195,20,129
196,20,60
197,20,890
198,20,347
199,20,14
200,20,10
201,20,11
202,20,12
203,20,4
204,21,16
205,21,891
206,21,174
207,21,881
208,21,4
209,21,10
210,21,91
211,21,13
212,21,12
213,21,892
214,21,105
215,22,638
216,22,508
217,22,43
218,22,254
219,22,91
220,22,33
221,22,121
222,22,13
223,22,12
224,22,102
225,22,570
226,23,281
227,23,4
228,23,14
229,23,11
230,23,163
231,23,12
232,23,13
233,23,893
234,24,79
235,24,894
236,24,36
237,24,12
238,24,895
239,24,21
240,25,896
241,25,524
242,25,26
243,25,862
244,25,660
245,25,53
246,25,17
247,25,20
248,25,12
249,25,55
250,25,14
251,25,13
252,25,4
253,26,862
254,26,197
255,26,44
256,26,556
257,26,4
258,26,14
259,26,12
260,26,91
261,26,21
