,recipe_id,ingredient
0,0,19
1,0,533
2,0,222
3,0,1036
4,0,33
5,0,12
6,0,13
7,0,299
8,0,101
9,0,4
10,1,145
11,1,44
12,1,17
13,1,440
14,1,367
15,1,149
16,1,148
17,1,437
18,1,157
19,1,25
20,1,2
21,1,10
22,1,13
23,1,11
24,1,22
25,1,91
26,1,20
27,2,1037
28,2,175
29,2,138
30,2,91
31,2,8
32,3,858
33,3,164
34,3,157
35,3,12
36,3,10
37,3,13
38,3,11
39,3,33
40,3,22
41,3,91
42,3,128
43,4,145
44,4,3
45,4,12
46,4,13
47,4,11
48,4,21
49,4,33
50,5,17
51,5,437
52,5,53
53,5,1038
54,5,1039
55,5,19
56,5,1040
57,5,91
58,5,21
59,5,102
60,5,33
61,6,1041
62,6,53
63,6,577
64,6,696
65,6,14
66,6,1042
67,6,12
68,7,36
69,7,100
70,7,249
71,7,19
72,7,4
73,7,1043
74,7,737
75,7,10
76,7,60
77,7,1044
78,7,106
79,7,102
80,7,101
81,7,33
82,7,169
83,7,167
84,8,19
85,8,13
86,8,106
87,8,116
88,8,10
89,8,12
90,8,1045
91,9,266
92,9,19
93,9,190
94,9,12
95,9,60
96,9,102
97,9,128
98,9,45
99,10,1046
100,10,4
101,10,1047
102,10,17
103,10,1048
104,10,102
105,10,190
106,10,10
107,10,1049
108,10,353
109,10,60
110,10,106
111,10,21
112,10,892
113,10,12
114,10,33
115,11,19
116,11,507
117,11,1050
118,11,137
119,11,1044
120,11,10
121,11,33
122,11,91
123,11,102
124,11,4
125,11,112
126,12,1051
127,12,1052
128,12,570
129,12,101
130,12,102
131,12,1053
132,12,91
133,12,106
134,12,12
135,12,10
136,12,4
137,12,14
138,13,266
139,13,432
140,13,1054
141,13,25
142,13,4
143,13,101
144,13,12
145,13,91
146,13,33
147,13,320
148,13,128
149,14,700
150,14,1055
151,14,1046
152,14,663
153,14,1047
154,14,12
155,14,10
156,14,13
157,14,91
158,14,21
159,15,146
160,15,125
161,15,19
162,15,22
163,15,1017
164,15,12
165,15,13
166,15,4
167,15,102
168,15,101
169,16,137
170,16,256
171,16,164
172,16,19
173,16,34
174,16,12
175,16,60
176,16,14
177,16,290
178,17,1056
179,17,18
180,17,121
181,17,247
182,17,91
183,17,34
184,17,102
185,17,427
186,17,249
187,17,10
188,17,13
189,18,147
190,18,1020
191,18,25
192,18,440
193,18,148
194,18,4
195,18,1057
196,18,12
197,18,10
198,18,21
199,19,396
200,19,25
201,19,1058
202,19,643
203,19,4
204,19,256
205,19,148
206,19,21
207,19,91
208,19,33
209,20,241
210,20,12
211,20,45
212,21,146
213,21,19
214,21,102
215,21,11
216,21,22
217,21,383
218,21,772
219,21,238
220,21,91
221,22,269
222,22,12
223,22,116
224,22,91
225,22,102
226,22,267
227,23,43
228,23,164
229,23,26
230,23,34
231,23,12
232,23,14
233,23,11
234,23,4
235,23,238
236,23,91
237,24,1049
238,24,1059
239,24,1058
240,24,1048
241,24,181
242,24,36
243,24,14
244,24,320
245,24,33
246,25,196
247,25,54
248,25,267
249,25,292
250,25,14
251,25,257
252,25,45
253,26,1020
254,26,79
255,26,128
256,26,4
257,26,12
258,26,106
259,26,33
260,26,91
261,27,1060
262,27,256
263,27,292
264,27,4
265,27,881
266,27,105
267,27,19
268,27,10
269,27,91
270,27,12
271,27,353
272,27,1061
273,28,901
274,28,42
275,28,102
276,28,101
277,28,4
278,28,12
279,28,116
280,28,91
281,28,268
282,28,21
283,28,22
284,29,18
285,29,292
286,29,190
287,29,19
288,29,15
289,29,17
290,29,81
291,29,94
292,29,241
293,29,646
294,29,1062
295,29,13
296,29,12
297,29,21
298,30,216
299,30,292
300,30,54
301,30,22
302,30,12
303,30,37
304,30,21
305,30,45
306,30,257
307,30,91
308,31,1063
309,31,1064
310,31,102
311,31,105
312,31,36
313,31,138
314,31,33
315,31,91
316,31,12
317,31,394
318,31,106
319,31,121
320,32,1065
321,32,19
322,32,105
323,32,103
324,32,101
325,32,14
326,32,128
327,32,12
328,32,106
329,32,21
330,33,1066
331,33,499
332,33,91
333,33,33
334,33,12
335,34,1067
336,34,1068
337,34,44
338,34,286
339,34,509
340,34,12
341,34,22
342,34,33
343,34,55
344,34,14
345,34,128
346,35,1069
347,35,1070
348,35,316
349,35,626
350,35,20
351,35,91
352,35,8
353,36,328
354,36,14
355,36,1071
356,36,167
357,36,121
358,36,12
359,36,91
360,36,33
361,37,1072
362,37,396
363,37,4
364,37,148
365,37,25
366,37,663
367,37,181
368,37,36
369,37,12
370,37,21
371,37,33
372,38,1073
373,38,1074
374,38,91
375,38,1075
376,38,387
377,38,4
378,38,10
379,38,148
380,38,12
381,38,21
382,39,40
383,39,2
384,39,101
385,39,103
386,39,45
387,39,299
388,39,13
389,39,10
390,39,33
391,39,21
392,39,111
393,40,795
394,40,315
395,40,101
396,40,4
397,40,14
398,40,45
399,40,12
400,40,13
401,41,1076
402,41,101
403,41,102
404,41,12
405,41,33
406,41,91
407,42,409
408,42,102
409,42,14
410,42,4
411,42,281
412,42,128
413,42,320
414,42,85
415,42,105
416,42,91
417,43,148
418,43,4
419,43,45
420,43,12
421,43,13
422,43,33
423,43,21
424,44,40
425,44,91
426,44,167
427,45,742
428,45,1049
429,45,1039
430,45,274
431,45,175
432,45,10
433,45,626
434,45,91
435,45,167
436,45,105
437,45,320
438,45,12
439,46,606
440,46,1077
441,46,428
442,46,4
443,46,101
444,46,821
445,46,1078
446,46,12
447,46,106
448,46,10
449,46,33
450,46,91
451,47,44
452,47,742
453,47,1079
454,47,14
455,47,12
456,47,91
457,47,33
458,48,284
459,48,111
460,48,1080
461,48,4
462,48,14
463,48,102
464,48,104
465,49,1028
466,49,1081
467,49,355
468,49,12
469,49,37
470,49,4
471,49,14
472,49,102
473,49,11
474,49,22
475,49,91
476,50,1082
477,50,219
478,50,1083
479,50,488
480,50,102
481,50,1084
482,50,91
483,50,33
484,50,105
485,50,397
486,51,147
487,51,25
488,51,396
489,51,872
490,51,847
491,51,1085
492,51,18
493,51,148
494,51,4
495,51,10
496,51,20
497,51,238
498,51,21
499,51,91
500,51,33
501,51,101
502,52,274
503,52,350
504,52,1086
505,52,104
506,52,91
507,52,238
508,52,102
509,52,18
510,52,10
511,53,1087
512,53,1088
513,53,44
514,53,357
515,53,4
516,53,14
517,53,12
518,53,91
519,53,21
520,53,33
521,53,11
522,54,1089
523,54,256
524,54,32
525,54,54
526,54,1090
527,54,1091
528,54,763
529,54,12
530,54,45
531,55,927
532,55,219
533,55,437
534,55,920
535,55,181
536,55,19
537,55,883
538,55,1092
539,55,12
540,55,33
541,55,21
542,56,79
543,56,54
544,56,164
545,56,22
546,56,12
547,56,37
548,56,4
549,56,21
550,56,91
551,57,147
552,57,146
553,57,25
554,57,12
555,57,14
556,57,33
557,57,128
558,57,4
559,57,21
560,57,1047
561,58,1093
562,58,1094
563,58,25
564,58,128
565,58,14
566,58,4
567,58,1047
568,58,12
569,58,21
570,58,33
571,59,437
572,59,1095
573,59,19
574,59,102
575,59,12
576,59,91
577,59,320
578,59,33
579,59,105
580,60,1096
581,60,238
582,60,101
583,60,4
584,60,10
585,60,14
586,60,106
587,60,60
588,60,12
589,60,848
590,61,1097
591,61,1098
592,61,91
593,61,12
594,61,1070
595,61,1099
596,61,1100
597,62,379
598,62,767
599,62,16
600,62,22
601,62,19
602,62,32
603,62,302
604,62,414
605,62,12
606,62,13
607,62,21
608,62,33
609,62,28
610,63,160
611,63,2
612,63,101
613,63,4
614,63,102
615,63,45
616,63,13
617,63,10
618,63,33
619,64,663
620,64,355
621,64,111
622,64,34
623,64,10
624,64,37
625,64,102
626,64,11
627,64,83
628,65,1046
629,65,801
630,65,44
631,65,4
632,65,1101
633,65,968
634,65,104
635,65,105
636,65,106
637,65,10
638,65,91
639,65,21
640,66,410
641,66,12
642,66,10
643,66,316
644,66,112
645,66,91
646,66,1102
647,67,1103
648,67,437
649,67,1104
650,67,12
651,67,320
652,68,1092
653,68,156
654,68,102
655,68,33
656,68,237
657,68,353
658,68,91
659,68,325
660,68,267
661,68,36
662,68,4
663,69,1105
664,69,106
665,69,12
666,69,70
667,69,1106
668,69,1107
669,69,204
670,69,205
671,69,1108
672,69,1109
673,70,1110
674,70,547
675,70,36
676,70,37
677,70,12
678,70,91
679,70,22
680,70,21
681,70,4
682,70,14
683,70,11
684,71,1111
685,71,1112
686,71,1100
687,71,1049
688,71,1066
689,71,1044
690,71,10
691,71,91
692,71,102
693,71,4
694,71,101
695,71,33
696,71,106
697,71,12
698,71,21
699,72,84
700,72,1020
701,72,646
702,72,331
703,72,299
704,72,102
705,72,13
706,72,12
707,72,21
708,72,33
709,72,45
710,73,1113
711,73,1114
712,73,1115
713,73,1116
714,73,10
715,73,104
716,73,91
717,73,33
718,73,102
719,73,12
720,73,21
721,73,4
722,73,105
723,74,40
724,74,437
725,74,36
726,74,4
727,74,264
728,74,105
729,74,19
730,74,25
731,74,318
732,74,12
733,74,397
734,75,2
735,75,700
736,75,32
737,75,25
738,75,174
739,75,36
740,75,573
741,75,299
742,75,45
743,75,91
744,75,21
745,75,172
746,75,33
747,75,237
748,76,675
749,76,278
750,76,182
751,76,144
752,76,101
753,76,86
754,76,299
755,76,12
756,76,13
757,76,172
758,76,33
759,76,45
760,77,145
761,77,1117
762,77,14
763,77,1118
764,77,12
765,77,37
766,78,59
767,78,1119
768,78,437
769,78,14
770,78,266
771,78,13
772,78,12
773,78,22
774,78,128
775,78,11
776,78,28
777,78,33
778,79,1120
779,79,12
780,79,499
781,79,10
782,79,91
783,79,33
784,79,102
785,80,1121
786,80,16
787,80,125
788,80,125
789,80,12
790,80,281
791,81,162
792,81,1122
793,81,1123
794,81,264
795,81,102
796,81,523
797,81,238
798,81,12
799,81,21
800,82,1124
801,82,7
802,82,4
803,82,14
804,82,12
805,82,10
806,82,11
807,82,13
808,82,33
809,82,383
810,83,102
811,83,12
812,83,10
813,83,226
814,83,121
815,84,147
816,84,91
817,84,8
818,84,418
819,85,91
820,85,1125
821,85,1126
822,85,1127
823,85,4
824,85,148
825,85,281
826,85,140
827,85,10
828,85,21
829,85,13
830,86,1058
831,86,1085
832,86,25
833,86,14
834,86,32
835,86,1128
836,86,10
837,86,1129
838,87,346
839,87,164
840,87,292
841,87,54
842,87,884
843,87,205
844,87,10
845,87,4
846,87,14
847,87,101
848,87,33
849,87,4
850,87,91
851,87,887
852,87,347
853,87,313
854,87,45
855,88,379
856,88,2
857,88,437
858,88,174
859,88,25
860,88,299
861,88,13
862,88,12
863,88,33
864,88,21
865,89,241
866,89,62
867,89,36
868,89,4
869,89,14
870,89,12
871,89,13
872,89,10
873,89,11
874,89,1130
875,89,116
876,89,21
877,89,33
878,90,234
879,90,1131
880,90,701
881,90,125
882,90,4
883,90,14
884,90,102
885,90,12
886,90,11
887,90,743
888,90,22
889,91,44
890,91,558
891,91,1132
892,91,1133
893,91,105
894,91,1055
895,91,1134
896,91,281
897,91,21
898,91,12
899,91,10
900,91,91
901,92,147
902,92,432
903,92,25
904,92,138
905,92,801
906,92,1075
907,92,1135
908,92,139
909,92,4
910,92,148
911,92,10
912,92,20
913,92,33
914,92,238
915,92,106
916,92,91
917,92,60
918,92,129
919,92,1013
920,93,2
921,93,160
922,93,19
923,93,105
924,93,36
925,93,12
926,93,116
927,93,33
928,93,21
929,93,128
930,94,241
931,94,169
932,94,168
933,94,34
934,94,175
935,94,1136
936,94,12
937,94,10
938,94,4
939,94,91
940,94,21
941,95,920
942,95,2
943,95,663
944,95,675
945,95,181
946,95,241
947,95,21
948,95,20
949,95,91
950,95,13
951,95,12
952,95,422
953,96,1134
954,96,105
955,96,1137
956,96,1138
957,96,148
958,96,12
959,96,397
960,96,91
961,96,21
962,96,238
963,97,871
964,97,4
965,97,256
966,97,891
967,97,174
968,97,1139
969,97,167
970,97,12
971,97,91
972,97,320
973,97,33
974,98,1086
975,98,1048
976,98,95
977,98,10
978,98,102
979,98,12
980,98,91
981,98,121
982,99,1140
983,99,868
984,99,4
985,99,14
986,99,10
987,99,318
988,100,1141
989,100,156
990,100,160
991,100,1058
992,100,4
993,100,102
994,100,101
995,100,128
996,100,105
997,100,36
998,100,33
999,100,12
1000,100,21
1001,100,91
1002,101,986
1003,101,987
1004,101,106
1005,101,4
1006,101,14
1007,101,12
1008,101,43
1009,102,721
1010,102,949
1011,102,264
1012,102,523
1013,102,4
1014,102,14
1015,102,281
1016,103,355
1017,103,663
1018,103,111
1019,103,164
1020,103,12
1021,103,37
1022,103,102
1023,103,101
1024,103,11
1025,103,45
1026,103,91
1027,104,577
1028,104,1142
1029,104,91
1030,104,383
1031,104,1143
1032,105,582
1033,105,101
1034,105,4
1035,105,14
1036,105,299
1037,105,318
1038,105,13
1039,105,33
1040,106,156
1041,106,94
1042,106,1020
1043,106,1144
1044,106,13
1045,106,12
1046,106,21
1047,106,33
1048,106,299
1049,107,147
1050,107,1145
1051,107,4
1052,107,79
1053,107,2
1054,107,278
1055,107,25
1056,107,148
1057,107,12
1058,107,10
1059,107,397
1060,107,21
1061,108,330
1062,108,101
1063,108,190
1064,108,959
1065,108,299
1066,108,45
1067,108,4
1068,108,14
1069,108,102
1070,108,91
1071,108,13
1072,108,121
1073,108,33
1074,108,237
1075,109,1146
1076,109,17
1077,109,19
1078,109,4
1079,109,1147
1080,109,12
1081,109,21
1082,109,1013
1083,110,933
1084,110,101
1085,110,573
1086,110,79
1087,110,14
1088,110,21
1089,110,13
1090,110,33
1091,110,4
1092,110,36
1093,110,12
1094,111,266
1095,111,10
1096,111,13
1097,111,4
1098,111,102
1099,111,318
1100,111,45
1101,112,1086
1102,112,1046
1103,112,111
1104,112,102
1105,112,148
1106,112,95
1107,112,4
1108,112,36
1109,112,10
1110,112,106
1111,112,91
1112,113,167
1113,113,1148
1114,113,78
1115,113,1149
1116,113,1150
1117,113,58
1118,113,12
1119,113,21
1120,113,1151
1121,114,1152
1122,114,766
1123,114,1153
1124,114,437
1125,114,105
1126,114,397
1127,114,91
1128,114,238
1129,114,21
1130,115,507
1131,115,1104
1132,115,1049
1133,115,4
1134,115,437
1135,115,396
1136,115,102
1137,115,12
1138,116,2
1139,116,19
1140,116,24
1141,116,1154
1142,116,320
1143,116,13
1144,116,91
1145,116,172
1146,117,700
1147,117,599
1148,117,91
1149,117,1155
1150,118,1156
1151,118,1157
1152,118,1046
1153,118,102
1154,118,4
1155,118,905
1156,118,10
1157,118,91
1158,118,106
1159,118,33
1160,119,1153
1161,119,1158
1162,119,1159
1163,119,766
1164,119,437
1165,119,25
1166,119,20
1167,119,105
1168,119,397
1169,119,21
1170,119,91
1171,119,238
1172,120,1160
1173,120,4
1174,120,101
1175,120,102
1176,120,33
1177,120,91
1178,120,12
1179,121,725
1180,121,437
1181,121,12
1182,121,19
1183,121,22
1184,121,281
1185,122,920
1186,122,103
1187,122,4
1188,122,13
1189,122,353
1190,122,33
1191,122,21
1192,122,45
1193,123,111
1194,123,1161
1195,123,1162
1196,123,14
1197,123,4
1198,123,7
1199,123,12
1200,123,13
1201,123,21
1202,124,43
1203,124,256
1204,124,111
1205,124,102
1206,124,125
1207,124,10
1208,124,106
1209,124,12
1210,124,105
1211,124,91
1212,124,13
1213,124,238
1214,125,291
1215,125,102
1216,125,101
1217,125,318
1218,125,33
1219,125,111
1220,125,393
1221,125,21
1222,126,1163
1223,126,204
1224,126,1164
1225,126,70
1226,126,1165
1227,126,14
1228,126,290
1229,127,21
1230,127,12
1231,127,10
1232,127,36
1233,127,4
1234,127,101
1235,127,102
1236,127,1166
1237,128,547
1238,128,16
1239,128,437
1240,128,19
1241,128,241
1242,128,299
1243,128,12
1244,128,13
1245,128,4
1246,128,14
1247,128,45
1248,129,1167
1249,129,1168
1250,129,12
1251,129,1169
1252,129,91
1253,130,109
1254,130,2
1255,130,182
1256,130,334
1257,130,144
1258,130,190
1259,130,19
1260,130,12
1261,130,33
1262,130,36
1263,130,4
1264,130,325
1265,130,121
1266,130,21
1267,130,105
1268,131,1076
1269,131,12
1270,131,121
1271,131,91
1272,132,166
1273,132,34
1274,132,12
1275,132,116
1276,132,14
1277,132,11
1278,132,4
1279,132,353
1280,132,91
1281,133,16
1282,133,17
1283,133,1083
1284,133,12
1285,133,106
1286,133,4
1287,133,14
1288,133,105
1289,134,1170
1290,134,1046
1291,134,148
1292,134,128
1293,134,891
1294,134,12
1295,134,13
1296,134,33
1297,135,1025
1298,135,2
1299,135,278
1300,135,101
1301,135,4
1302,135,299
1303,135,45
1304,135,13
1305,135,12
1306,135,172
1307,135,33
1308,135,21
1309,136,1171
1310,136,12
1311,136,1172
1312,136,91
1313,137,43
1314,137,25
1315,137,44
1316,137,12
1317,137,13
1318,137,290
1319,138,181
1320,138,1173
1321,138,103
1322,138,4
1323,138,101
1324,138,281
1325,138,238
1326,138,10
1327,138,33
1328,138,106
1329,138,91
1330,138,12
1331,139,40
1332,139,930
1333,139,12
1334,139,167
1335,139,4
1336,139,10
1337,139,238
1338,139,116
1339,140,1174
1340,140,14
1341,140,12
1342,140,13
1343,140,1175
1344,141,146
1345,141,196
1346,141,1176
1347,141,238
1348,141,101
1349,141,4
1350,141,10
1351,141,14
1352,141,106
1353,141,60
1354,141,12
1355,141,848
1356,142,16
1357,142,12
1358,142,1049
1359,142,28
1360,142,20
1361,142,4
1362,142,106
1363,142,871
1364,142,102
1365,142,10
1366,142,91
1367,143,1097
1368,143,1070
1369,143,91
1370,143,316
1371,143,1177
1372,143,596
1373,144,43
1374,144,12
1375,144,13
1376,144,14
1377,144,33
1378,144,290
1379,144,91
1380,145,147
1381,145,14
1382,145,249
1383,145,1178
1384,145,91
1385,146,1179
1386,146,256
1387,146,4
1388,146,101
1389,146,1180
1390,146,104
1391,146,33
1392,146,325
1393,146,91
1394,147,1086
1395,147,1181
1396,147,1058
1397,147,1046
1398,147,499
1399,147,419
1400,147,91
1401,147,33
1402,148,872
1403,148,530
1404,148,12
1405,148,101
1406,148,102
1407,148,91
1408,148,33
1409,149,128
1410,149,570
1411,149,4
1412,149,33
1413,149,19
1414,150,1182
1415,150,219
1416,150,410
1417,150,400
1418,150,299
1419,150,13
1420,150,12
1421,150,290
