,recipe_id,ingredient
0,0,43
1,0,2
2,0,187
3,0,507
4,0,437
5,0,25
6,0,156
7,0,44
8,0,19
9,0,241
10,0,22
11,0,53
12,0,45
13,0,20
14,0,10
15,0,12
16,0,13
17,0,4
18,0,14
19,1,77
20,1,24
21,1,14
22,1,4
23,1,12
24,1,121
25,1,20
26,1,13
27,1,11
28,2,468
29,2,643
30,2,264
31,2,4
32,2,14
33,2,190
34,2,318
35,2,247
36,2,954
37,2,12
38,2,102
39,2,21
40,2,85
41,3,431
42,3,267
43,3,7
44,3,12
45,3,10
46,3,116
47,3,14
48,3,4
49,3,102
50,4,145
51,4,14
52,4,25
53,4,17
54,4,44
55,4,8
56,4,21
57,4,4
58,4,22
59,4,13
60,4,20
61,4,12
62,5,38
63,5,438
64,5,14
65,5,4
66,5,12
67,5,10
68,5,91
69,5,11
70,5,55
71,5,33
72,6,1183
73,6,208
74,6,12
75,6,37
76,6,11
77,6,21
78,6,4
79,7,291
80,7,1184
81,7,278
82,7,34
83,7,12
84,7,10
85,7,4
86,7,14
87,7,55
88,7,101
89,8,1185
90,8,4
91,8,14
92,8,888
93,8,129
94,8,113
95,8,91
96,8,13
97,9,186
98,9,25
99,9,44
100,9,19
101,9,1158
102,9,22
103,9,4
104,9,14
105,9,113
106,9,13
107,9,12
108,9,10
109,9,20
110,9,91
111,10,575
112,10,1186
113,10,19
114,10,45
115,10,167
116,10,12
117,10,21
118,11,43
119,11,256
120,11,12
121,11,102
122,11,898
123,11,696
124,11,142
125,12,533
126,12,315
127,12,1187
128,12,174
129,12,241
130,12,19
131,12,12
132,12,383
133,12,21
134,12,22
135,12,4
136,12,34
137,12,639
138,12,427
139,12,13
140,13,134
141,13,336
142,13,53
143,13,12
144,13,14
145,13,129
146,13,11
147,13,877
148,13,209
149,13,91
150,14,134
151,14,116
152,14,14
153,14,11
154,14,22
155,14,124
156,15,43
157,15,476
158,15,7
159,15,11
160,15,91
161,15,13
162,15,12
163,15,21
164,15,4
165,15,14
166,16,43
167,16,219
168,16,13
169,16,14
170,16,4
171,16,476
172,16,21
173,16,12
174,16,45
175,16,91
176,16,33
177,16,113
178,17,186
179,17,254
180,17,25
181,17,4
182,17,14
183,17,12
184,17,21
185,17,13
186,17,20
187,18,43
188,18,12
189,18,10
190,18,116
191,18,13
192,18,11
193,18,21
194,18,142
195,18,1188
196,18,128
197,19,1189
198,19,205
199,19,898
200,19,4
201,19,14
202,19,102
203,19,12
204,19,226
205,19,268
206,20,1190
207,20,44
208,20,25
209,20,14
210,20,113
211,20,4
212,20,91
213,20,13
214,20,12
215,20,20
216,20,116
217,20,33
218,20,10
219,21,62
220,21,10
221,21,45
222,21,102
223,21,11
224,21,116
225,21,33
226,21,13
227,21,4
228,22,2
229,22,19
230,22,12
231,22,10
