,recipe_id,ingredient
0,0,1221
1,0,43
2,0,26
3,0,17
4,0,1222
5,0,373
6,0,11
7,0,12
8,0,13
9,0,22
10,1,43
11,1,280
12,1,238
13,1,4
14,1,14
15,1,10
16,2,1223
17,2,279
18,2,558
19,2,4
20,2,14
21,2,102
22,2,10
23,2,91
24,2,21
25,2,238
26,2,1224
27,3,145
28,3,438
29,3,10
30,3,113
31,3,91
32,3,60
33,3,33
34,3,889
35,3,12
36,3,22
37,3,129
38,3,4
39,3,14
40,4,222
41,4,91
42,4,10
43,4,268
44,4,13
45,4,12
46,4,257
47,5,253
48,5,91
49,5,172
50,5,1225
51,5,12
52,6,2
53,6,12
54,6,172
55,6,8
56,7,396
57,7,20
58,7,10
59,7,12
60,7,13
61,7,22
62,7,663
63,7,1226
64,7,58
65,7,5
66,7,116
67,8,396
68,8,20
69,8,10
70,8,12
71,8,13
72,8,22
73,8,663
74,8,1226
75,8,58
76,8,5
77,8,116
78,9,533
79,9,34
80,9,12
81,9,14
82,9,11
83,9,33
84,9,4
85,9,91
86,10,253
87,10,172
88,10,91
89,10,12
90,10,13
91,10,268
92,10,14
93,11,2
94,11,91
95,11,172
96,11,12
97,11,13
98,11,329
99,11,21
100,12,147
101,12,2
102,12,264
103,12,44
104,12,91
105,12,10
106,12,12
107,12,21
108,12,1227
109,13,166
110,13,22
111,13,10
112,13,91
113,13,116
114,13,11
115,13,12
116,14,119
117,14,14
118,14,25
119,14,113
120,14,91
121,14,12
122,14,13
123,14,44
124,14,17
125,14,238
126,14,21
127,15,145
128,15,10
129,15,60
130,15,4
131,15,14
132,15,11
133,15,696
134,15,238
135,15,1228
136,15,347
137,15,277
138,16,1229
139,16,949
140,16,1225
141,16,12
142,16,91
143,16,4
144,16,14
145,16,55
146,16,277
147,17,1229
148,17,949
149,17,1225
150,17,12
151,17,91
152,17,4
153,17,14
154,17,55
155,17,277
156,18,167
157,18,2
158,18,12
159,18,91
160,18,13
161,18,113
162,18,4
163,18,14
164,18,281
165,19,43
166,19,12
167,19,4
168,19,14
169,19,129
170,19,113
171,19,888
172,19,7
173,20,145
174,20,11
175,20,14
176,20,4
177,20,383
178,20,237
179,20,129
180,20,45
181,21,134
182,21,4
183,21,14
184,21,103
185,21,10
186,21,11
187,21,91
188,21,12
189,21,21
190,21,22
191,22,761
192,22,101
193,22,268
194,22,12
195,22,91
196,22,13
197,22,19
198,22,21
199,22,22
200,22,4
201,22,14
202,22,7
203,22,11
204,23,924
205,23,12
