,recipe_id,ingredient
0,0,1473
1,0,101
2,0,157
3,0,25
4,0,11
5,0,4
6,0,14
7,0,21
8,0,13
9,1,742
10,1,700
11,1,78
12,1,440
13,1,25
14,1,160
15,1,1474
16,1,767
17,1,128
18,1,1058
19,1,102
20,1,10
21,1,106
22,1,12
23,2,924
24,2,2
25,2,219
26,2,17
27,2,25
28,2,148
29,2,44
30,2,16
31,2,278
32,2,4
33,2,14
34,2,12
35,2,91
36,2,22
37,2,20
38,3,159
39,3,44
40,3,4
41,3,60
42,3,14
43,3,113
44,4,2
45,4,4
46,4,14
47,4,116
48,4,10
49,4,91
50,4,13
51,4,113
52,4,33
53,4,58
54,5,1475
55,5,12
56,5,11
57,5,55
58,5,4
59,5,14
60,6,43
61,6,155
62,6,17
63,6,12
64,6,60
65,6,14
66,6,4
67,7,342
68,7,10
69,7,486
70,7,102
71,7,14
72,7,95
73,7,318
74,7,91
75,7,106
76,8,19
77,8,13
78,8,106
79,8,116
80,8,10
81,8,12
82,8,1045
83,9,398
84,9,19
85,9,22
86,9,4
87,9,113
88,9,12
89,9,383
90,9,5
91,9,33
92,10,1476
93,10,203
94,10,521
95,10,464
96,10,1477
97,10,12
98,10,37
99,10,33
100,10,696
101,10,1478
102,11,328
103,11,12
104,11,91
105,11,888
106,11,129
107,11,11
108,11,13
109,11,889
110,12,291
111,12,7
112,12,12
113,12,102
114,12,318
115,12,22
116,12,1479
117,12,697
118,12,21
119,13,91
120,13,1480
121,13,178
122,13,1097
123,13,12
124,13,316
125,13,19
126,13,626
127,13,1481
128,14,1482
129,14,898
130,14,12
131,14,21
132,14,1234
133,14,167
134,14,177
135,14,14
136,14,4
137,15,134
138,15,898
139,15,19
140,15,181
141,15,125
142,15,12
143,15,21
144,15,1234
145,15,167
146,15,177
147,15,14
148,15,4
149,16,43
150,16,12
151,16,268
152,16,13
153,16,14
154,16,55
155,16,4
156,17,468
157,17,43
158,17,26
159,17,17
160,17,113
161,17,12
162,17,19
163,18,1483
164,18,292
165,18,4
166,18,14
167,18,91
168,18,113
169,18,257
170,18,21
171,18,12
172,18,20
173,19,153
174,19,16
175,19,164
176,19,17
177,19,12
178,19,33
179,19,128
180,20,102
181,20,325
182,20,36
183,20,1055
184,20,1484
185,20,266
186,20,1485
187,21,467
188,21,1486
189,21,432
190,21,115
191,21,4
192,21,14
193,21,37
194,21,91
195,21,11
196,21,10
197,21,116
198,21,21
199,21,22
200,21,33
201,21,102
202,21,12
203,22,437
204,22,19
205,22,12
206,22,1487
207,22,280
208,22,13
209,22,287
210,22,116
211,22,163
212,23,1488
213,23,688
214,23,4
215,23,14
216,23,320
217,23,523
218,23,36
219,24,1489
220,24,256
221,24,1180
222,24,316
223,24,12
224,24,320
225,24,1490
226,25,106
227,25,91
228,25,121
229,25,12
230,25,14
231,26,146
232,26,40
233,26,189
234,26,36
235,26,4
236,26,14
237,26,102
238,26,12
239,26,37
240,26,11
241,26,10
242,26,91
243,26,104
244,26,22
245,26,33
246,27,284
247,27,10
248,27,1491
249,27,14
250,27,12
251,27,102
252,27,60
253,27,1492
254,27,55
255,28,84
256,28,102
257,28,14
258,28,4
259,28,22
260,28,104
261,28,237
262,28,1212
263,28,106
264,28,91
265,28,116
266,28,33
267,28,128
268,29,317
269,29,1493
270,29,25
271,29,1494
272,29,12
273,29,37
274,29,33
275,29,101
276,29,1495
277,29,4
278,29,14
279,29,102
280,30,1496
281,30,264
282,30,17
283,30,44
284,30,14
285,30,4
286,30,55
287,30,12
288,30,13
289,30,113
290,30,444
291,31,40
292,31,1497
293,31,219
294,31,1498
295,31,14
296,31,4
297,31,37
298,31,12
299,31,11
300,32,47
301,32,357
302,32,20
303,32,12
304,32,33
305,32,4
306,32,14
307,32,128
308,32,37
309,33,1499
310,33,44
311,33,25
312,33,17
313,33,128
314,33,37
315,33,12
316,33,11
317,34,438
318,34,1500
319,34,19
320,34,1501
321,34,1334
322,34,22
