,recipe_id,ingredient
0,0,350
1,0,44
2,0,103
3,0,13
4,0,11
5,0,91
6,0,20
7,0,12
8,0,111
9,1,2
10,1,927
11,1,148
12,1,174
13,1,17
14,1,4
15,1,11
16,1,13
17,1,21
18,1,12
19,2,2
20,2,437
21,2,1243
22,2,19
23,2,21
24,2,14
25,2,13
26,2,333
27,2,12
28,2,33
29,2,4
30,2,22
31,3,12
32,3,10
33,3,116
34,3,13
35,3,102
36,3,33
37,3,142
38,3,649
39,3,427
40,3,4
41,4,1600
42,4,12
43,4,13
44,4,33
45,4,102
46,4,418
47,4,248
48,4,36
49,5,273
50,5,10
51,5,102
52,5,116
53,5,142
54,5,401
55,5,91
56,6,1117
57,6,34
58,6,14
59,6,102
60,6,101
61,6,436
62,6,91
63,7,632
64,7,101
65,7,83
66,7,34
67,7,12
68,7,290
69,7,102
70,8,43
71,8,19
72,8,241
73,8,36
74,8,12
75,8,13
76,8,14
77,8,11
78,8,33
79,8,383
80,8,21
81,8,4
82,8,20
83,9,260
84,9,700
85,9,25
86,9,292
87,9,12
88,9,10
89,9,116
90,9,4
91,9,14
92,9,55
93,9,101
94,9,11
95,9,268
96,10,155
97,10,103
98,10,44
99,10,12
100,10,22
101,10,101
102,10,33
103,10,20
104,10,116
105,10,14
106,10,11
107,10,13
108,11,431
109,11,19
110,11,17
111,11,12
112,11,13
113,11,14
114,11,11
115,11,33
116,11,4
117,12,43
118,12,34
119,12,14
120,12,102
121,12,33
122,12,290
123,12,91
124,13,145
125,13,34
126,13,10
127,13,14
128,13,101
129,13,263
130,14,53
131,14,44
132,14,48
133,14,17
134,14,25
135,14,12
136,14,13
137,14,14
138,14,33
139,15,386
140,15,101
141,15,33
142,15,102
143,15,11
144,15,4
145,15,58
146,15,21
147,15,14
148,15,12
149,15,10
150,15,13
151,16,19
152,16,25
153,16,47
154,16,22
155,16,12
156,16,33
157,16,13
158,16,20
159,17,145
160,17,25
161,17,14
162,17,12
163,17,10
164,17,13
165,17,11
166,17,1188
167,17,4
168,17,20
169,18,222
170,18,254
171,18,19
172,18,10
173,18,13
174,18,14
175,18,101
176,18,11
177,18,33
178,18,1188
179,18,4
180,18,45
181,18,21
182,18,111
183,19,2
184,19,254
185,19,103
186,19,101
187,19,111
188,19,10
189,19,13
190,19,11
191,19,20
192,19,33
193,20,40
194,20,2
195,20,19
196,20,1601
197,20,12
198,20,13
199,20,102
200,20,267
201,20,21
202,21,222
203,21,181
204,21,101
205,21,22
206,21,12
207,21,10
208,21,37
209,21,397
210,21,14
211,21,11
212,21,267
213,21,344
214,21,21
215,22,134
216,22,101
217,22,116
218,22,22
219,22,12
220,22,45
221,22,10
222,22,14
