,recipe_id,ingredient
0,0,43
1,0,256
2,0,12
3,0,13
4,0,10
5,0,91
6,0,5
7,0,649
8,0,33
9,0,21
10,0,14
11,1,2
12,1,266
13,1,12
14,1,13
15,1,33
16,1,299
17,2,1613
18,2,432
19,2,20
20,2,4
21,2,14
22,2,10
23,2,11
24,2,427
25,2,13
26,2,91
27,2,128
28,2,22
29,3,186
30,3,438
31,3,25
32,3,44
33,3,12
34,3,13
35,3,116
36,3,113
37,3,55
38,3,4
39,3,14
40,3,20
41,4,18
42,4,79
43,4,44
44,4,125
45,4,25
46,4,54
47,4,12
48,4,91
49,4,14
50,4,101
51,4,116
52,4,45
53,5,508
54,5,115
55,5,125
56,5,144
57,5,278
58,5,2
59,5,11
60,5,4
61,5,14
62,5,12
63,5,91
64,5,13
65,5,22
66,5,7
67,5,649
68,6,134
69,6,44
70,6,25
71,6,115
72,6,22
73,6,4
74,6,14
75,6,36
76,6,102
77,6,21
78,6,113
79,6,116
80,6,33
81,6,91
82,6,7
83,6,12
84,7,755
85,7,113
86,7,10
87,7,91
88,7,21
89,7,13
90,7,238
91,7,4
92,7,14
93,7,1143
94,8,468
95,8,889
96,8,10
97,8,11
98,8,4
99,8,14
100,8,55
101,8,129
102,8,833
103,8,12
104,8,13
105,9,431
106,9,4
107,9,14
108,9,102
109,9,129
110,9,1130
111,9,11
112,9,10
113,9,116
114,9,33
115,9,91
116,10,117
117,10,12
118,10,55
119,10,13
120,10,91
121,10,129
122,10,11
123,10,10
124,10,116
125,10,4
126,10,14
127,10,33
128,11,1363
129,11,55
130,11,833
131,11,129
132,11,11
133,11,10
134,11,91
135,11,33
136,12,277
137,12,11
138,12,10
139,12,60
140,12,33
141,12,13
142,12,55
143,12,129
144,12,4
145,12,14
146,13,241
147,13,1614
148,13,547
149,13,660
150,13,19
151,13,164
152,13,144
153,13,34
154,13,12
155,13,14
156,13,102
157,13,55
158,13,22
159,13,4
160,14,547
161,14,53
162,14,19
163,14,12
164,14,4
165,14,14
166,14,11
167,14,33
168,14,22
169,14,209
170,14,91
171,14,21
172,15,934
173,15,53
174,15,19
175,15,209
