,recipe_id,ingredient
0,0,2005
1,0,253
2,0,437
3,0,181
4,0,21
5,0,12
6,0,322
7,0,238
8,0,245
9,1,2005
10,1,33
11,1,437
12,1,12
13,1,287
14,1,128
15,1,285
16,1,21
17,1,13
18,1,414
19,2,145
20,2,43
21,2,1444
22,2,1039
23,2,1038
24,2,1049
25,2,318
26,2,10
27,2,60
28,2,1375
29,2,12
30,2,33
31,3,214
32,3,105
33,3,437
34,3,372
35,3,766
36,3,264
37,3,190
38,3,521
39,3,36
40,3,675
41,3,12
42,3,397
43,3,21
44,3,238
45,3,20
46,3,2006
47,4,43
48,4,102
49,4,95
50,4,4
51,4,106
52,4,12
53,4,281
54,4,14
55,5,91
56,5,121
57,5,18
58,5,190
59,5,12
60,6,1530
61,6,807
62,6,2007
63,6,12
64,6,37
65,6,11
66,6,22
67,7,19
68,7,807
69,7,1020
70,7,12
71,7,37
72,7,11
73,7,22
74,8,43
75,8,12
76,8,4
77,8,14
78,8,1991
79,8,36
80,8,1002
81,8,33
82,8,20
83,9,40
84,9,2
85,9,148
86,9,93
87,9,4
88,9,10
89,9,2008
90,9,12
91,9,13
92,9,21
93,9,128
94,9,7
95,10,1301
96,10,25
97,10,437
98,10,2009
99,10,285
100,10,12
101,10,19
102,10,167
103,10,1919
104,10,116
105,10,237
106,10,91
107,10,13
108,10,7
109,11,253
110,11,1605
111,11,174
112,11,54
113,11,44
114,11,378
115,11,241
116,11,4
117,11,36
118,11,237
119,11,91
120,11,113
121,11,116
122,11,12
123,11,13
124,12,167
125,12,12
126,12,13
127,12,10
128,12,25
129,12,44
130,12,396
131,12,1525
132,12,4
133,12,102
134,12,116
135,13,321
136,13,12
137,13,13
138,13,113
139,13,2010
140,13,322
141,13,128
142,14,15
143,14,25
144,14,44
145,14,12
146,14,11
147,14,22
148,14,13
149,14,427
150,14,7
151,15,42
152,15,25
153,15,44
154,15,125
155,15,54
156,15,19
157,15,4
158,15,13
159,15,12
160,15,22
161,15,427
162,15,33
163,15,7
164,16,216
165,16,44
166,16,4
167,16,264
168,16,125
169,16,190
170,16,19
171,16,102
172,17,117
173,17,19
174,17,32
175,17,144
176,17,53
177,17,20
178,17,14
179,17,22
180,17,37
181,17,12
182,17,4
183,17,21
184,17,11
185,17,245
186,17,509
187,18,467
188,18,508
189,18,115
190,18,190
191,18,25
192,18,22
193,18,19
194,18,21
195,18,91
196,18,12
197,18,33
198,18,4
199,18,113
200,18,13
201,18,14
202,18,20
203,19,134
204,19,25
205,19,54
206,19,44
207,19,4
208,19,14
209,19,101
210,19,102
211,19,10
212,19,116
213,19,13
214,19,91
215,19,21
216,19,22
217,19,33
218,19,20
219,20,33
220,20,588
221,20,396
222,20,102
223,20,10
224,20,105
225,20,5
226,20,12
227,21,46
228,21,530
229,21,2011
230,21,18
231,21,160
232,21,4
233,21,95
234,21,190
235,21,325
236,21,21
237,22,2012
238,22,959
239,22,498
240,22,2013
241,22,1801
242,22,2014
243,22,91
244,22,449
245,23,40
246,23,829
247,23,1753
248,23,920
249,23,219
250,23,25
251,23,148
252,23,44
253,23,103
254,23,12
255,23,172
256,23,11
257,23,13
258,23,21
259,23,318
260,23,45
261,24,379
262,24,220
263,24,1642
264,24,78
265,24,43
266,24,264
267,24,381
268,24,664
269,24,155
270,24,14
271,24,2015
272,24,4
273,24,2016
274,24,129
275,24,219
276,24,280
277,24,44
278,24,13
279,24,963
280,24,60
281,24,2017
282,24,10
283,24,2018
284,24,2019
285,24,2020
286,24,20
287,25,379
288,25,43
289,25,44
290,25,264
291,25,15
292,25,59
293,25,17
294,25,373
295,25,163
296,25,11
297,25,91
298,25,12
299,25,13
300,25,22
301,25,4
302,25,14
303,26,192
304,26,438
305,26,44
306,26,4
307,26,101
308,26,10
309,26,116
310,26,91
311,26,237
312,26,22
313,26,21
314,26,13
315,26,7
316,27,147
317,27,810
318,27,17
319,27,1608
320,27,155
321,27,220
322,27,148
323,27,160
324,27,315
325,27,25
326,27,4
327,27,14
328,27,11
329,27,172
330,27,21
331,27,13
332,27,20
333,28,43
334,28,155
335,28,547
336,28,149
337,28,437
338,28,366
339,28,530
340,28,25
341,28,44
342,28,219
343,28,14
344,28,12
345,28,13
346,28,11
347,29,810
348,29,147
349,29,155
350,29,1608
351,29,17
352,29,220
353,29,25
354,29,44
355,29,148
356,29,4
357,29,14
358,29,13
359,29,20
360,29,172
361,29,113
362,30,438
363,30,2
364,30,192
365,30,155
366,30,437
367,30,17
368,30,19
369,30,25
370,30,174
371,30,241
372,30,21
373,30,4
374,30,257
375,30,13
376,30,33
377,30,20
378,30,7
379,30,172
380,31,530
381,31,2021
382,31,1957
383,31,2022
384,31,468
385,31,216
386,31,2023
387,31,570
388,31,40
389,31,44
390,31,25
391,31,12
392,31,523
393,32,145
394,32,24
395,32,2024
396,32,277
397,32,14
398,32,4
399,32,12
400,32,106
401,32,45
402,33,147
403,33,149
404,33,302
405,33,138
406,33,205
407,33,445
408,33,315
409,33,2025
410,33,2026
411,33,91
412,33,22
413,33,20
414,34,1046
415,34,437
416,34,19
417,34,1847
418,34,12
419,34,91
420,34,397
421,34,105
422,34,21
423,34,238
424,35,1287
425,35,2
426,35,533
427,35,25
428,35,422
429,35,10
430,35,12
431,35,13
432,35,33
433,35,21
434,35,4
435,36,134
436,36,437
437,36,22
438,36,12
439,36,10
440,36,37
441,36,4
442,36,33
443,36,91
444,36,128
445,37,264
446,37,935
447,37,10
448,37,91
449,37,4
450,37,14
451,37,2027
452,37,523
453,37,414
454,37,28
455,38,2028
456,38,4
457,38,347
458,38,14
459,38,2029
460,38,85
461,38,91
462,38,522
463,38,2030
464,38,2031
465,38,2032
466,39,547
467,39,174
468,39,7
469,39,10
470,39,13
471,39,14
472,39,116
473,39,33
474,39,237
475,39,91
476,39,2033
477,39,257
478,39,247
479,39,4
480,39,102
481,39,1188
482,39,128
483,40,43
484,40,2034
485,40,573
486,40,2035
487,40,91
488,40,22
489,41,1650
490,41,2034
491,41,102
492,41,280
493,41,13
494,41,238
495,41,19
496,41,21
497,42,38
498,42,19
499,42,4
500,42,113
501,42,91
502,42,10
503,42,322
504,42,238
505,43,218
506,43,134
507,43,14
508,43,4
509,43,12
510,43,37
511,43,21
512,43,245
513,43,509
514,43,11
515,44,2036
516,44,34
517,44,12
518,44,4
519,44,14
520,44,55
521,44,129
522,44,888
523,44,91
524,45,334
525,45,291
526,45,10
527,45,91
528,45,245
529,46,156
530,46,547
531,46,1208
532,46,12
533,46,11
534,46,13
535,47,417
536,47,255
537,47,53
538,47,264
539,47,44
540,47,4
541,47,14
542,47,102
543,47,12
544,47,91
545,47,10
546,47,318
547,47,21
548,48,2037
549,48,1208
550,48,280
551,48,91
552,48,522
553,48,2030
554,48,55
555,48,277
556,48,33
557,48,14
558,48,4
559,49,1208
560,49,2038
561,49,1254
562,49,4
563,49,190
564,49,14
565,49,85
566,49,318
567,49,10
568,49,91
569,49,2039
570,49,33
571,50,146
572,50,125
573,50,4
574,50,12
575,50,13
576,50,101
577,50,393
578,50,19
579,50,45
580,50,102
581,50,245
582,50,91
583,50,447
584,50,1017
585,51,25
586,51,125
587,51,34
588,51,14
589,51,102
590,51,11
591,51,33
592,51,45
593,51,91
594,51,320
595,52,321
596,52,19
597,52,174
598,52,113
599,52,12
600,52,13
601,52,91
602,52,116
603,52,10
604,52,4
605,52,14
606,52,102
607,52,21
608,52,322
609,52,2040
610,52,444
611,52,419
612,53,1636
613,53,2
614,53,643
615,53,53
616,53,12
617,53,11
618,53,427
619,53,13
620,53,4
621,53,2041
622,54,398
623,54,54
624,54,25
625,54,4
626,54,44
627,54,101
628,54,256
629,54,91
630,54,12
631,54,22
632,54,325
633,54,2033
634,54,121
635,54,280
636,54,10
637,54,13
638,54,1605
639,54,2019
640,54,167
641,54,401
642,54,102
643,54,20
644,54,576
645,55,33
646,55,12
647,55,91
648,55,10
649,55,102
650,55,105
651,55,1055
652,55,1049
653,55,1847
654,55,1038
655,55,125
656,55,125
657,55,742
658,56,1696
659,56,4
660,56,54
661,56,181
