,recipe_id,ingredient
0,0,2
1,0,91
2,0,13
3,0,12
4,0,10
5,0,4
6,0,14
7,0,268
8,0,277
9,0,129
10,1,222
11,1,12
12,1,91
13,1,10
14,1,268
15,1,2134
16,1,4
17,1,14
18,1,129
19,1,2186
20,2,222
21,2,12
22,2,91
23,2,10
24,2,4
25,2,268
26,2,129
27,2,112
28,2,14
29,3,914
30,3,631
31,3,264
32,3,254
33,3,7
34,3,167
35,3,14
36,3,12
37,3,13
38,3,11
39,3,21
40,3,725
41,4,177
42,4,102
43,4,256
44,4,26
45,4,167
46,4,178
47,4,12
48,4,21
49,4,37
50,5,665
51,5,70
52,5,415
53,5,14
54,5,12
55,5,397
56,5,11
57,6,2187
58,6,2188
59,6,2189
60,6,10
61,6,12
62,6,13
63,6,238
64,6,102
65,6,14
66,6,55
67,6,4
68,6,553
69,7,62
70,7,4
71,7,36
72,7,102
73,7,116
74,7,12
75,7,33
76,7,177
77,7,14
78,7,10
79,7,142
80,7,55
81,7,13
82,7,129
83,7,21
84,8,665
85,8,4
86,8,55
87,8,21
88,8,347
89,8,12
90,8,13
91,8,11
92,9,44
93,9,4
94,9,280
95,9,1151
96,9,59
97,9,91
98,9,12
99,9,1158
100,9,246
101,9,178
102,9,13
103,9,22
104,9,20
105,9,14
106,9,400
107,10,222
108,10,10
109,10,12
110,10,4
111,10,890
112,10,129
113,10,14
114,10,623
115,10,622
116,10,45
117,11,43
118,11,34
119,11,4
120,11,256
121,11,142
122,12,77
123,12,25
124,12,4
125,12,10
126,12,14
127,12,11
128,12,102
129,12,13
130,13,646
131,13,101
132,13,102
133,13,36
134,13,181
135,13,12
136,13,13
137,13,91
138,13,142
139,13,33
140,13,116
141,14,437
142,14,242
143,14,438
144,14,19
145,14,33
146,14,4
147,14,21
148,14,14
149,14,113
150,14,7
151,14,13
152,14,20
153,14,12
154,15,2074
155,15,178
156,15,2075
157,15,13
158,15,12
159,15,91
160,15,280
161,15,14
162,15,4
163,16,38
164,16,47
165,16,2122
166,16,1605
167,16,10
168,16,1001
169,16,241
170,16,378
171,16,237
172,16,91
173,16,113
174,16,116
175,16,12
176,16,20
177,17,155
178,17,2
179,17,385
180,17,21
181,17,12
182,17,13
183,17,91
184,17,102
185,17,994
186,18,43
187,18,470
188,18,12
189,18,13
190,18,4
191,18,14
192,18,33
193,18,91
194,18,21
195,18,268
196,19,2184
197,19,688
198,19,12
199,19,13
200,19,2077
201,19,2185
202,20,154
203,20,678
204,20,961
205,20,14
206,20,4
207,20,245
208,20,12
209,20,13
210,20,91
211,20,21
212,20,191
213,21,62
214,21,266
215,21,920
216,21,284
217,21,4
218,21,12
219,21,13
220,21,116
221,21,36
222,21,91
223,21,102
224,21,10
225,21,770
226,21,736
227,21,209
228,22,428
229,22,50
230,22,4
231,22,1658
232,22,10
233,22,11
234,22,12
235,22,55
236,22,14
237,22,245
238,23,864
239,23,17
240,23,25
241,23,2
242,23,19
243,23,12
244,23,13
245,23,14
246,23,33
247,23,4
248,23,268
249,23,20
250,24,621
251,24,203
252,24,521
253,24,12
254,24,91
255,24,22
256,24,37
257,24,7
258,25,145
259,25,621
260,25,1796
261,25,36
262,25,54
263,25,26
264,25,318
265,25,91
266,25,397
267,25,85
268,25,12
269,25,718
270,25,1468
271,26,796
272,26,13
273,26,12
274,26,427
275,26,1158
276,26,11
277,27,331
278,27,44
279,27,167
280,27,128
281,27,13
282,27,21
283,27,280
284,27,401
285,27,12
286,27,7
287,28,742
288,28,24
289,28,14
290,28,4
291,28,190
292,28,12
293,28,280
294,28,91
295,28,21
296,29,222
297,29,10
298,29,11
299,29,12
300,29,45
301,29,5
302,29,4
303,29,14
304,29,102
305,30,1637
306,30,4
307,30,19
308,30,125
309,30,700
310,30,1447
311,30,190
312,30,12
313,30,397
314,30,21
315,30,238
316,31,292
317,31,1645
318,31,44
319,31,965
320,31,646
321,31,12
322,31,983
323,31,14
324,31,324
325,32,2190
326,32,4
327,32,12
328,32,95
329,32,13
330,33,25
331,33,2191
332,33,410
333,33,101
334,33,821
335,33,353
336,33,12
337,34,414
338,34,700
339,34,34
340,34,12
341,34,37
342,34,14
343,35,398
344,35,13
345,35,102
346,35,33
347,35,101
348,35,7
349,35,12
350,36,51
351,36,2192
352,36,2193
353,36,34
354,36,12
355,36,14
356,36,102
357,36,101
358,36,11
359,36,347
360,36,833
361,36,320
362,36,436
363,36,91
364,36,142
365,37,166
366,37,404
367,37,12
368,37,37
369,37,318
370,38,2096
371,38,111
372,38,14
373,38,4
374,38,125
375,38,7
376,38,12
377,38,13
378,38,21
379,39,2194
380,39,292
381,39,125
382,39,2195
383,39,2140
384,39,25
385,39,2196
386,39,1871
387,39,316
388,39,12
389,39,91
390,39,821
391,40,25
392,40,14
393,40,91
394,40,116
395,40,10
396,40,418
397,41,2197
398,41,175
399,41,241
400,41,34
401,41,102
402,41,91
403,41,4
404,42,155
405,42,100
406,42,14
407,42,4
408,42,12
409,42,13
410,42,91
411,42,21
412,43,414
413,43,148
414,43,102
415,43,128
416,43,12
417,43,33
418,43,91
419,43,28
420,44,47
421,44,25
422,44,12
423,44,22
424,44,45
425,45,155
426,45,174
427,45,190
428,45,14
429,45,4
430,45,488
431,45,12
432,45,13
433,45,91
434,45,245
435,45,238
436,45,21
437,46,398
438,46,36
439,46,12
440,46,21
441,46,11
442,46,13
443,46,639
444,46,427
445,46,19
446,46,22
447,46,45
448,47,12
449,47,167
450,47,19
451,47,22
452,47,7
453,47,796
454,47,245
455,47,13
456,47,383
457,47,746
458,48,521
459,48,357
460,48,4
461,48,14
462,48,102
463,48,12
464,48,13
465,48,55
466,49,16
467,49,19
468,49,22
469,49,12
470,49,13
471,49,128
472,49,178
473,50,145
474,50,2
475,50,4
476,50,14
477,50,11
478,50,12
479,50,13
480,50,10
481,50,91
482,50,401
483,51,886
484,51,102
485,51,32
486,51,256
487,51,54
488,51,19
489,51,12
490,51,10
491,51,11
492,51,318
493,51,22
494,51,36
495,51,45
496,51,177
497,51,821
498,51,91
