,recipe_id,ingredient
0,0,62
1,0,292
2,0,54
3,0,11
4,0,10
5,0,13
6,0,91
7,0,4
8,0,14
9,0,102
10,0,129
11,0,7
12,0,12
13,0,56
14,1,2198
15,1,19
16,1,32
17,1,4
18,1,14
19,1,12
20,1,37
21,1,11
22,1,21
23,1,22
24,2,398
25,2,576
26,2,19
27,2,241
28,2,54
29,2,21
30,2,12
31,2,11
32,2,427
33,2,45
34,3,19
35,3,22
36,3,115
37,3,11
38,3,13
39,3,427
40,3,102
41,3,7
42,3,28
43,3,12
44,4,46
45,4,78
46,4,153
47,4,1536
48,4,11
49,4,10
50,4,13
51,4,22
52,4,4
53,4,14
54,4,102
55,4,56
56,4,12
57,5,40
58,5,46
59,5,43
60,5,47
61,5,25
62,5,254
63,5,62
64,5,12
65,5,13
66,5,55
67,5,11
68,6,78
69,6,25
70,6,54
71,6,36
72,6,11
73,6,13
74,6,12
75,6,28
76,6,22
77,7,192
78,7,150
79,7,19
80,7,13
81,7,11
82,7,21
83,7,427
84,7,7
85,7,383
86,8,25
87,8,19
88,8,174
89,8,181
90,8,14
91,8,393
92,8,895
93,8,12
94,8,394
95,8,33
96,8,91
97,9,2199
98,9,44
99,9,25
100,9,9
101,9,14
102,9,7
103,9,13
104,9,21
105,9,91
106,9,22
107,10,40
108,10,54
109,10,256
110,10,115
111,10,14
112,10,7
113,10,12
114,10,91
115,10,121
116,10,237
117,10,22
118,10,102
119,11,62
120,11,12
121,11,10
122,11,60
123,11,55
124,11,622
125,11,129
126,11,14
127,11,4
128,11,33
129,12,396
130,12,14
131,12,12
132,12,85
133,12,19
134,12,105
135,12,5
136,12,91
137,12,10
138,12,33
139,13,186
140,13,59
141,13,685
142,13,25
143,13,158
144,13,254
145,13,54
146,13,153
147,13,19
148,13,11
149,13,10
150,13,116
151,13,91
152,13,28
153,13,427
154,13,22
155,13,7
156,14,62
157,14,19
158,14,22
159,14,11
160,14,13
161,14,55
162,14,33
163,14,7
164,14,4
165,14,14
166,14,12
167,14,241
168,15,192
169,15,222
170,15,254
171,15,26
172,15,36
173,15,33
174,15,11
175,15,116
176,15,91
177,15,10
178,15,13
179,15,4
180,15,14
181,15,55
182,15,7
183,16,222
184,16,12
185,16,55
186,17,16
187,17,530
188,17,667
189,17,134
190,17,437
191,17,18
192,17,178
193,17,19
194,17,22
195,17,11
196,17,13
197,17,28
198,17,7
199,17,427
200,17,12
201,17,102
202,18,2200
203,18,1664
204,18,2201
205,18,2202
206,18,2203
207,18,2204
208,18,527
209,18,2205
210,18,245
211,18,11
212,18,14
213,18,427
214,18,4
