,recipe_id,ingredient
0,0,43
1,0,17
2,0,254
3,0,25
4,0,219
5,0,12
6,0,13
7,0,14
8,0,113
9,0,4
10,1,43
11,1,379
12,1,94
13,1,26
14,1,17
15,1,44
16,1,25
17,1,153
18,1,303
19,1,4
20,1,14
21,1,12
22,1,113
23,1,13
24,1,22
25,1,20
26,1,33
27,2,77
28,2,146
29,2,206
30,2,22
31,2,4
32,2,14
33,2,45
34,2,102
35,2,10
36,2,91
37,2,599
38,2,11
39,2,60
40,2,55
41,2,21
42,2,12
43,2,13
44,3,241
45,3,547
46,3,125
47,3,125
48,3,144
49,3,34
50,3,12
51,3,10
52,3,116
53,3,4
54,3,14
55,3,11
56,4,241
57,4,222
58,4,19
59,4,94
60,4,292
61,4,256
62,4,54
63,4,34
64,4,12
65,4,14
66,4,55
67,4,257
68,4,884
69,5,117
70,5,18
71,5,241
72,5,427
73,5,12
74,5,20
75,5,13
76,5,45
77,5,4
78,5,102
79,5,11
80,6,2
81,6,153
82,6,22
83,6,25
84,6,44
85,6,17
86,6,19
87,6,12
88,6,427
89,6,4
90,6,11
91,6,55
92,6,1525
93,6,4
94,7,43
95,7,17
96,7,134
97,7,19
98,7,94
99,7,33
100,7,13
101,7,4
102,7,11
103,7,14
104,7,12
105,7,55
106,7,36
107,8,53
108,8,12
109,8,10
110,8,14
111,8,55
112,8,33
113,8,4
114,8,113
115,8,45
116,8,36
117,8,21
118,9,2262
119,9,12
120,9,14
121,9,102
122,9,55
123,9,129
124,9,4
125,10,206
126,10,596
127,10,241
128,10,91
129,10,45
130,11,241
131,11,1051
132,11,34
133,11,12
134,11,4
135,11,14
136,11,11
137,11,884
138,11,877
139,11,91
140,12,34
141,12,10
142,12,14
143,12,102
144,12,55
145,12,11
146,12,4
147,12,599
148,13,241
149,13,2
150,13,19
151,13,660
152,13,25
153,13,412
154,13,154
155,13,663
156,13,34
157,13,12
158,13,4
159,13,102
160,13,55
161,13,22
162,14,145
163,14,12
164,14,10
165,14,13
166,14,11
167,14,33
168,14,4
169,14,877
170,14,91
171,14,7
172,15,43
173,15,4
174,15,14
175,15,55
176,15,102
177,15,12
178,16,547
179,16,144
180,16,18
181,16,34
182,16,10
183,16,116
184,16,37
185,16,4
186,16,14
187,16,55
188,16,11
189,16,33
190,16,22
191,16,5
192,17,173
193,17,51
194,17,129
195,17,55
196,17,12
197,17,14
198,17,4
199,18,117
200,18,547
201,18,115
202,18,10
203,18,116
204,18,91
205,18,13
206,18,56
207,18,4
208,18,14
209,18,102
210,18,45
211,18,427
212,18,11
213,18,142
214,18,12
215,19,222
216,19,12
217,19,488
218,20,241
219,20,62
220,20,36
221,20,83
222,20,34
223,20,12
224,20,10
225,20,116
226,20,4
227,21,43
228,21,187
229,21,17
230,21,47
231,21,19
232,21,12
233,21,13
234,21,268
235,21,113
236,21,21
237,21,55
238,21,22
239,21,833
240,21,4
241,21,20
242,21,14
243,22,292
244,22,2
245,22,241
246,22,649
247,22,4
248,22,14
249,22,12
250,22,11
251,23,893
252,23,46
253,23,44
254,23,17
255,23,16
256,23,686
257,23,1188
258,23,148
259,23,241
260,23,12
261,23,10
262,23,13
263,23,14
264,23,55
265,23,11
266,23,257
267,23,4
268,23,91
269,23,45
270,23,1525
271,23,4
272,24,206
273,24,205
274,24,19
275,24,241
276,24,418
277,24,91
278,24,20
279,24,33
280,25,2263
281,25,19
282,25,299
283,25,241
284,25,91
285,25,56
286,25,7
287,26,16
288,26,44
289,26,685
290,26,1354
291,26,20
292,26,113
293,26,14
294,26,4
295,26,12
296,26,13
297,27,241
298,27,2264
299,27,100
300,27,83
301,27,101
302,27,34
303,27,12
304,27,4
305,27,102
306,28,222
307,28,12
308,28,313
309,28,14
310,28,347
311,28,277
312,28,622
313,28,928
314,28,1228
315,28,55
316,29,937
317,29,16
318,29,144
319,29,19
320,29,148
321,29,12
322,29,14
323,29,4
324,29,20
325,29,33
326,30,16
327,30,315
328,30,19
329,30,284
330,30,22
331,30,4
332,30,14
333,30,12
334,30,11
335,30,20
336,31,16
337,31,204
338,31,19
339,31,18
340,31,22
341,31,20
342,31,13
343,31,4
344,31,14
345,31,11
346,31,268
347,31,12
348,32,2265
349,32,2266
350,32,19
351,32,10
352,32,14
353,32,102
354,32,55
355,32,128
356,32,4
357,33,18
358,33,302
359,33,20
360,33,12
361,33,13
362,33,116
363,33,55
364,34,134
365,34,53
366,34,19
367,34,14
368,34,13
369,34,45
370,34,12
371,34,33
372,34,4
373,34,20
374,34,102
375,35,314
376,35,320
377,35,275
378,35,55
379,35,4
380,35,36
381,35,91
382,35,14
383,35,33
384,35,13
385,35,12
386,35,102
387,36,547
388,36,103
389,36,19
390,36,22
391,36,13
392,36,12
393,36,33
394,36,4
395,37,186
396,37,125
397,37,19
398,37,11
399,37,12
400,37,13
401,37,22
402,37,4
403,37,28
404,37,14
405,38,930
406,38,22
407,38,19
408,38,43
409,38,17
410,38,25
411,38,53
412,38,113
413,38,20
414,38,13
415,38,12
416,38,4
417,38,639
418,38,427
419,38,45
420,39,117
421,39,43
422,39,2
423,39,596
424,39,19
425,39,241
426,39,378
427,39,12
428,39,10
429,39,116
430,39,102
431,39,11
432,39,45
433,39,4
434,39,91
435,39,36
436,40,2267
437,40,254
438,40,115
439,40,4
440,40,14
441,40,102
442,40,142
443,40,45
444,40,12
445,40,33
446,40,13
447,40,55
448,40,11
449,40,833
450,41,26
451,41,44
452,41,54
453,41,25
454,41,331
455,41,22
456,41,241
457,41,36
458,41,12
459,41,13
460,41,21
461,41,4
462,41,11
463,41,14
464,41,45
465,42,221
466,42,19
467,42,241
468,42,17
469,42,576
470,42,47
471,42,174
472,42,36
473,42,13
474,42,11
475,42,12
476,42,20
477,42,112
478,42,21
479,42,55
480,43,145
481,43,14
482,43,33
483,43,12
484,43,55
485,43,129
486,43,10
487,43,5
488,43,113
489,43,4
490,44,266
491,44,2
492,44,1335
493,44,32
494,44,10
495,44,11
496,44,12
497,44,55
498,44,14
499,44,13
500,44,4
501,44,33
502,45,4
503,45,1764
504,45,2
505,45,148
506,45,20
507,45,11
508,45,14
509,45,91
510,45,102
511,45,10
512,45,12
513,45,45
514,46,187
515,46,2
516,46,19
517,46,241
518,46,22
519,46,14
520,46,55
521,46,12
522,46,13
523,46,5
524,46,4
525,46,20
526,47,428
527,47,32
528,47,125
529,47,1188
530,47,12
531,47,13
532,47,102
533,47,33
534,47,55
535,47,45
536,47,36
537,48,54
538,48,148
539,48,19
540,48,144
541,48,241
542,48,22
543,48,21
544,48,4
545,48,12
546,48,14
547,48,33
548,48,10
549,48,13
550,48,45
551,49,62
552,49,22
553,49,1025
554,49,4
555,49,10
556,49,427
557,49,13
558,49,102
559,49,833
560,49,7
561,49,55
562,50,398
563,50,12
564,50,14
565,50,102
566,50,33
567,50,4
568,50,91
569,50,20
570,51,437
571,51,174
572,51,254
573,51,18
574,51,25
575,51,54
576,51,19
577,51,4
578,51,11
579,51,427
580,51,12
581,51,13
582,51,55
583,51,22
584,51,45
585,52,241
586,52,222
587,52,292
588,52,190
589,52,54
590,52,34
591,52,12
592,52,10
593,52,55
594,52,11
595,52,22
596,53,2
597,53,2268
598,53,51
599,53,12
600,53,10
601,53,116
602,53,4
603,53,102
604,53,55
605,53,33
606,54,323
607,54,151
608,54,16
609,54,19
610,54,438
611,54,25
612,54,18
613,54,17
614,54,4
615,54,14
616,54,28
617,54,20
618,54,22
619,54,13
620,54,11
621,54,427
622,54,639
623,54,12
624,54,21
625,54,178
626,55,428
627,55,62
628,55,19
629,55,241
630,55,4
631,55,14
632,55,10
633,55,55
634,55,7
635,55,33
636,55,13
637,56,141
638,56,17
639,56,25
640,56,21
641,56,12
642,56,347
643,56,928
644,56,102
645,56,4
646,56,11
647,56,13
648,57,285
649,57,663
650,57,18
651,57,12
652,57,14
653,57,102
654,57,275
655,57,33
656,58,62
657,58,12
658,58,55
659,59,43
660,59,646
661,59,144
662,59,153
663,59,204
664,59,12
665,59,14
666,59,11
667,59,4
668,59,320
669,59,313
670,59,277
671,59,887
672,59,888
673,59,91
674,60,173
675,60,241
676,60,19
677,60,144
678,60,53
679,60,14
680,60,12
681,60,21
682,60,4
683,61,145
684,61,636
685,61,5
686,61,14
687,61,4
688,61,113
689,62,49
690,62,205
691,62,149
692,62,4
693,62,14
694,62,60
695,62,55
696,62,599
697,62,12
698,62,11
699,62,45
700,63,2
701,63,22
702,63,19
703,63,241
704,63,275
705,63,45
706,63,21
707,63,10
708,63,4
709,63,12
710,63,14
711,63,13
712,63,11
713,63,91
714,64,355
715,64,19
716,64,12
717,64,14
718,64,55
719,64,22
720,64,4
721,64,320
722,64,275
723,64,91
724,64,4
725,65,16
726,65,44
727,65,25
728,65,54
729,65,22
730,65,19
731,65,47
732,65,91
733,65,14
734,65,4
735,65,20
736,65,12
737,65,36
738,65,13
739,65,21
740,65,116
741,65,275
742,65,11
743,66,40
744,66,241
745,66,22
746,66,154
747,66,55
748,66,4
749,66,14
750,66,45
751,66,33
752,66,10
753,66,12
754,67,43
755,67,928
756,67,7
757,67,623
758,67,2269
759,67,277
760,67,14
761,67,313
762,67,268
763,67,55
764,67,12
765,68,43
766,68,17
767,68,25
768,68,79
769,68,148
770,68,19
771,68,241
772,68,12
773,68,13
774,68,14
775,68,21
776,68,4
777,68,1188
778,68,20
779,68,113
780,69,62
781,69,54
782,69,53
783,69,18
784,69,649
785,69,13
786,69,10
787,69,55
788,69,12
789,69,116
790,70,241
791,70,53
792,70,350
793,70,269
794,70,267
795,70,34
796,70,12
797,70,116
