,recipe_id,ingredient
0,0,250
1,0,143
2,0,165
3,0,359
4,0,286
5,0,14
6,0,102
7,0,181
8,0,4
9,0,263
10,0,12
11,0,21
12,0,55
13,0,318
14,0,91
15,0,37
16,0,13
17,0,2273
18,0,97
19,0,2274
20,1,40
21,1,43
22,1,437
23,1,25
24,1,860
25,1,17
26,1,4
27,1,427
28,1,13
29,1,280
30,1,12
31,1,28
32,1,419
33,1,20
34,2,2
35,2,46
36,2,43
37,2,147
38,2,174
39,2,44
40,2,19
41,2,36
42,2,12
43,2,37
44,2,11
45,2,21
46,2,22
47,2,33
48,2,4
49,2,14
50,3,117
51,3,624
52,3,437
53,3,530
54,3,44
55,3,264
56,3,280
57,3,12
58,3,4
59,3,14
60,3,13
61,3,10
62,3,91
63,3,20
64,4,134
65,4,437
66,4,25
67,4,44
68,4,280
69,4,12
70,4,19
71,4,22
72,4,1151
73,4,13
74,4,34
75,4,4
76,4,14
77,5,2275
78,5,2276
79,5,43
80,5,11
81,5,4
82,5,14
83,5,12
84,5,13
85,5,163
86,6,62
87,6,881
88,6,12
89,6,60
90,6,14
91,6,129
92,6,11
93,6,33
94,6,4
95,6,553
96,6,45
97,6,1437
98,7,114
99,7,268
100,7,113
101,7,10
102,7,91
103,7,4
104,7,14
105,7,129
106,7,928
107,7,58
108,8,53
109,8,2
110,8,36
111,8,54
112,8,505
113,8,10
114,8,116
115,8,102
116,8,12
117,8,13
118,8,55
119,9,17
120,9,432
121,9,44
122,9,237
123,9,91
124,9,324
125,9,75
126,9,13
127,9,2277
128,9,281
129,10,847
130,10,33
131,10,13
132,10,10
133,10,116
134,10,12
135,11,1111
136,11,2278
137,11,4
138,11,14
139,11,10
140,11,91
141,11,33
142,11,523
143,11,13
144,11,129
145,11,757
146,12,2279
147,12,44
148,12,701
149,12,237
150,12,91
151,12,116
152,12,12
153,12,22
154,12,167
155,12,2280
156,13,24
157,13,77
158,13,17
159,13,16
160,13,264
161,13,1537
162,13,48
163,13,93
164,13,4
165,13,14
166,13,12
167,13,280
168,13,1151
169,13,20
170,14,24
171,14,54
172,14,237
173,14,672
174,14,1325
175,14,12
176,14,34
177,14,13
178,14,167
179,14,22
180,15,1482
181,15,24
182,15,36
183,15,4
184,15,14
185,15,12
186,15,37
187,15,11
188,15,21
189,15,22
190,16,285
191,16,60
192,16,116
193,16,280
194,16,10
195,16,129
196,16,4
197,16,14
198,16,860
199,17,173
200,17,205
201,17,12
202,17,13
203,17,10
204,17,60
205,17,4
206,17,14
207,18,852
208,18,11
209,18,4
210,18,14
211,18,91
212,18,33
213,18,10
214,19,2037
215,19,2
216,19,1612
217,19,10
218,19,12
219,19,177
220,19,91
221,19,888
222,19,4
223,19,14
224,20,171
225,20,437
226,20,4
227,20,14
228,20,55
229,20,12
230,20,401
231,20,13
232,20,11
233,21,43
234,21,2281
235,21,675
236,21,14
237,21,34
238,21,12
239,21,13
240,21,91
241,21,28
242,22,2282
243,22,196
244,22,379
245,22,4
246,22,14
247,22,280
248,22,12
249,22,43
250,22,320
251,22,22
252,22,13
253,22,20
254,23,51
255,23,755
256,23,113
257,23,12
258,23,10
259,23,91
260,23,4
261,23,14
262,24,134
263,24,203
264,24,216
265,24,19
266,24,256
267,24,14
268,24,2283
269,24,17
270,24,54
271,24,12
272,24,280
273,24,1151
274,24,22
275,24,287
276,24,237
277,24,34
278,25,285
279,25,147
280,25,174
281,25,11
282,25,22
283,25,12
284,25,13
285,25,4
286,25,427
287,26,2284
288,26,25
289,26,1849
290,26,14
291,26,4
292,26,128
293,26,10
294,26,22
295,26,106
296,26,318
