,recipe_id,ingredient
0,0,1262
1,0,254
2,0,22
3,0,101
4,0,103
5,0,10
6,0,13
7,0,5
8,0,12
9,0,7
10,0,33
11,1,151
12,1,508
13,1,19
14,1,101
15,1,125
16,1,22
17,1,12
18,1,13
19,1,33
20,2,47
21,2,158
22,2,968
23,2,299
24,2,45
25,2,12
26,2,13
27,2,318
28,2,10
29,3,16
30,3,219
31,3,17
32,3,2413
33,3,19
34,3,11
35,3,12
36,3,13
37,3,21
38,3,4
39,3,14
40,3,22
41,3,28
42,4,134
43,4,281
44,4,418
45,4,4
46,4,45
47,4,36
48,4,12
49,4,13
50,4,21
51,5,10
52,5,60
53,5,4
54,5,14
55,5,129
56,5,128
57,6,43
58,6,101
59,6,20
60,6,11
61,6,12
62,6,116
63,6,13
64,6,33
65,6,4
66,6,14
67,6,55
68,6,22
69,7,43
70,7,125
71,7,125
72,7,34
73,7,12
74,7,116
75,7,37
76,7,14
77,7,102
78,7,101
79,7,11
80,7,33
81,7,22
82,7,142
83,7,4
84,7,91
85,8,146
86,8,4
87,8,14
88,8,101
89,8,12
90,8,299
91,8,28
92,8,45
93,8,13
94,8,116
95,8,11
96,8,55
97,9,43
98,9,101
99,9,4
100,9,14
101,9,11
102,9,116
103,9,91
104,9,13
105,9,397
106,9,55
107,9,7
108,9,22
109,9,33
110,10,2414
111,10,4
112,10,14
113,10,888
114,10,757
115,10,2062
116,10,1225
117,10,12
118,10,13
119,10,91
120,10,238
121,10,1002
122,11,46
123,11,432
124,11,16
125,11,26
126,11,523
127,11,4
128,11,33
129,11,11
130,11,163
131,12,284
132,12,19
133,12,36
134,12,241
135,12,7
136,12,11
137,12,12
138,12,13
139,12,91
140,12,116
141,12,55
142,12,499
143,12,102
144,12,4
145,12,14
146,12,22
147,12,33
148,13,43
149,13,36
150,13,20
151,13,10
152,13,12
153,13,91
154,13,13
155,13,112
156,13,102
157,13,4
158,13,14
159,13,22
160,13,33
161,14,1672
162,14,36
163,14,19
164,14,7
165,14,11
166,14,12
167,14,13
168,14,91
169,14,116
170,14,499
171,14,55
172,14,4
173,14,14
174,14,102
175,14,22
176,14,33
177,15,428
178,15,7
179,15,11
180,15,12
181,15,13
182,15,91
183,15,55
184,15,499
185,15,102
186,15,4
187,15,14
188,15,116
189,15,33
190,15,22
191,16,314
192,16,36
193,16,45
194,16,11
195,16,12
196,16,13
197,16,91
198,16,116
199,16,55
200,16,142
201,16,4
202,16,14
203,16,102
204,16,553
205,17,547
206,17,36
207,17,19
208,17,7
209,17,11
210,17,12
211,17,13
212,17,91
213,17,116
214,17,499
215,17,55
216,17,4
217,17,14
218,17,102
219,17,22
220,17,33
221,18,43
222,18,36
223,18,19
224,18,7
225,18,11
226,18,12
227,18,13
228,18,91
229,18,4
230,18,116
231,18,55
232,18,102
233,18,33
234,18,499
235,18,22
236,19,19
237,19,101
238,19,36
239,19,20
240,19,11
241,19,12
242,19,13
243,19,91
244,19,116
245,19,499
246,19,102
247,19,4
248,19,14
249,19,55
250,19,33
251,19,22
252,20,43
253,20,125
254,20,144
255,20,101
256,20,12
257,20,14
258,20,112
259,21,156
260,21,46
261,21,25
262,21,437
263,21,284
264,21,767
265,21,18
266,21,858
267,21,12
268,21,13
269,21,10
270,22,17
271,22,602
272,22,19
273,22,43
274,22,173
275,22,271
276,22,20
277,22,11
278,22,12
279,22,13
280,22,21
281,22,91
282,22,4
283,22,14
284,22,22
285,22,28
286,23,155
287,23,1764
288,23,598
289,23,205
290,23,149
291,23,204
292,23,20
293,23,11
294,23,12
295,23,116
296,23,60
297,23,21
298,23,4
299,23,14
300,24,145
301,24,1764
302,24,598
303,24,205
304,24,204
305,24,149
306,24,11
307,24,60
308,24,12
309,24,21
310,24,4
311,24,14
312,24,553
313,25,1363
314,25,253
315,25,1764
316,25,598
317,25,205
318,25,149
319,25,204
320,25,7
321,25,11
322,25,12
323,25,60
324,25,21
325,25,4
326,25,14
327,25,28
328,25,290
329,26,80
330,26,256
331,26,125
332,26,115
333,26,19
334,26,13
335,26,22
