,recipe_id,ingredient
0,0,942
1,0,25
2,0,44
3,0,54
4,0,587
5,0,35
6,0,181
7,0,10
8,0,91
9,0,12
10,0,22
11,0,128
12,0,21
13,0,238
14,1,2267
15,1,17
16,1,254
17,1,25
18,1,675
19,1,16
20,1,20
21,1,11
22,1,13
23,1,4
24,1,14
25,1,102
26,1,12
27,1,10
28,1,116
29,2,44
30,2,25
31,2,26
32,2,701
33,2,54
34,2,81
35,2,12
36,2,13
37,2,11
38,2,128
39,3,547
40,3,578
41,3,19
42,3,378
43,3,22
44,3,5
45,3,12
46,3,4
47,3,55
48,3,383
49,3,113
50,3,58
51,4,788
52,4,379
53,4,17
54,4,153
55,4,22
56,4,33
57,4,4
58,4,14
59,4,12
60,4,36
61,4,11
62,4,13
63,4,20
64,5,2
65,5,144
66,5,22
67,5,4
68,5,14
69,5,12
70,5,113
71,5,13
72,5,10
73,5,58
74,6,59
75,6,19
76,6,16
77,6,25
78,6,17
79,6,53
80,6,22
81,6,12
82,6,113
83,6,14
84,6,13
85,6,4
86,6,20
87,7,141
88,7,437
89,7,17
90,7,26
91,7,254
92,7,16
93,7,94
94,7,144
95,7,1293
96,7,22
97,7,237
98,7,91
99,7,55
100,7,12
101,7,11
102,7,14
103,7,13
104,7,4
105,7,21
106,8,62
107,8,139
108,8,12
109,8,55
110,8,4
111,8,129
112,8,14
113,8,11
114,8,13
115,9,10
116,9,14
117,9,55
118,9,129
119,9,11
120,9,33
121,9,45
122,9,20
123,9,91
124,9,4
125,10,2516
126,10,14
127,10,102
128,10,95
129,10,238
130,10,729
131,10,2517
132,10,60
133,11,414
134,11,872
135,11,25
136,11,14
137,11,12
138,11,743
139,11,91
140,12,62
141,12,184
142,12,36
143,12,4
144,12,14
145,12,12
146,12,11
147,12,10
148,12,116
149,12,21
150,12,91
151,12,757
152,12,55
153,12,33
154,12,833
155,13,431
156,13,188
157,13,11
158,13,187
159,13,12
160,13,133
161,13,486
162,13,102
163,13,189
164,13,4
165,13,246
166,14,660
167,14,16
168,14,1208
169,14,17
170,14,19
171,14,438
172,14,14
173,14,12
174,14,13
