,recipe_id,ingredient
0,0,16
1,0,221
2,0,114
3,0,530
4,0,547
5,0,155
6,0,437
7,0,468
8,0,266
9,0,53
10,0,1025
11,0,103
12,0,675
13,0,10
14,0,12
15,0,770
16,0,142
17,0,33
18,0,247
19,0,209
20,0,172
21,0,36
22,0,21
23,0,14
24,0,116
25,0,13
26,0,113
27,0,91
28,0,102
29,1,284
30,1,174
31,1,44
32,1,134
33,1,46
34,1,156
35,1,59
36,1,148
37,1,12
38,1,13
39,1,113
40,1,116
41,1,14
42,2,16
43,2,438
44,2,400
45,2,17
46,2,19
47,2,22
48,2,12
49,2,113
50,2,13
51,2,639
52,2,427
53,2,20
54,3,43
55,3,554
56,3,91
57,3,277
58,3,10
59,3,313
60,3,890
61,3,1024
62,3,1228
63,3,55
64,3,833
65,3,928
66,3,623
67,3,347
68,3,12
69,3,7
70,4,16
71,4,44
72,4,19
73,4,22
74,4,12
75,4,427
76,4,20
77,4,13
78,4,113
79,5,40
80,5,508
81,5,32
82,5,2
83,5,125
84,5,19
85,5,91
86,5,102
87,5,55
88,5,14
89,5,33
90,5,12
91,5,4
92,5,45
93,6,19
94,6,2
95,6,22
96,6,4
97,6,14
98,6,12
99,6,10
100,6,13
101,6,113
102,6,45
103,7,181
104,7,1475
105,7,16
106,7,1154
107,7,101
108,7,22
109,7,14
110,7,12
111,7,13
112,7,113
113,7,55
114,7,19
115,7,4
116,7,20
117,8,2413
118,8,78
119,8,181
120,8,263
121,8,12
122,8,21
123,8,22
124,8,1151
125,8,509
126,8,256
127,9,437
128,9,701
129,9,54
130,9,2545
131,9,4
132,9,14
133,9,2546
134,9,2229
135,9,12
136,10,43
137,10,2547
138,10,4
139,10,10
140,10,91
141,10,33
142,10,105
143,10,21
144,10,12
145,11,19
146,11,12
147,11,10
148,11,14
149,11,55
150,11,4
151,11,1024
152,11,347
153,12,666
154,12,254
155,12,144
156,12,19
157,12,1641
158,12,103
159,12,14
160,12,12
161,12,22
162,12,10
163,12,7
164,12,13
165,13,43
166,13,206
167,13,22
168,13,19
169,13,12
170,13,10
171,13,4
172,13,13
173,13,14
174,13,113
175,13,91
176,13,20
177,14,43
178,14,206
179,14,19
180,14,12
181,14,10
182,14,13
183,14,4
184,14,14
185,14,129
186,14,11
187,14,22
188,14,91
189,14,245
190,14,45
191,14,928
192,14,887
193,15,62
194,15,55
195,15,129
196,15,14
197,15,890
198,15,131
199,15,833
200,15,12
201,16,924
202,16,144
203,16,660
204,16,54
205,16,44
206,16,12
207,16,10
208,16,37
209,16,4
210,16,14
211,16,11
212,16,33
213,16,91
214,16,128
215,16,45
216,17,43
217,17,55
218,17,12
219,17,10
220,17,116
221,17,33
222,18,145
223,18,43
224,18,2275
225,18,195
226,18,2548
227,18,46
228,18,17
229,18,264
230,18,156
231,18,2549
232,18,157
233,18,147
234,18,4
235,18,14
236,18,12
237,18,11
238,18,10
239,18,245
240,19,284
241,19,316
242,19,102
243,19,256
244,19,12
245,19,21
246,19,85
247,20,250
248,20,12
249,20,10
250,20,116
251,20,14
252,20,22
253,20,4
254,20,128
255,20,58
256,21,49
257,21,675
258,21,277
259,21,12
260,21,36
261,21,91
262,21,113
263,21,14
264,21,116
265,21,4
266,21,111
267,21,427
268,22,222
269,22,206
270,22,256
271,22,676
272,22,12
273,22,21
274,22,10
275,22,113
276,22,14
277,22,139
278,23,117
279,23,17
280,23,44
281,23,25
282,23,13
283,23,113
284,23,10
285,23,4
286,23,14
287,23,12
288,24,24
289,24,219
290,24,22
291,24,12
292,24,45
293,24,91
294,24,113
295,25,222
296,25,12
297,25,10
298,25,14
299,25,877
300,25,91
301,26,62
302,26,10
303,26,91
304,26,113
305,26,55
306,26,12
307,27,190
308,27,1806
309,27,264
310,27,14
311,27,4
312,27,7
313,27,12
314,27,13
315,27,191
316,27,245
317,28,893
318,28,44
319,28,25
320,28,255
