,recipe_id,ingredient
0,0,361
1,0,1592
2,0,281
3,0,36
4,0,101
5,0,4
6,0,12
7,0,33
8,0,10
9,0,247
10,0,1001
11,1,2569
12,1,25
13,1,1605
14,1,1816
15,1,174
16,1,4
17,1,280
18,1,33
19,2,156
20,2,16
21,2,17
22,2,254
23,2,32
24,2,12
25,2,13
26,2,21
27,2,11
28,2,22
29,2,20
30,3,2570
31,3,437
32,3,337
33,3,256
34,3,281
35,3,352
36,3,2571
37,3,2572
38,3,2573
39,3,121
40,3,13
41,3,12
42,3,238
43,3,2574
44,3,21
45,3,19
46,3,1186
47,4,43
48,4,1608
49,4,1444
50,4,1039
51,4,1038
52,4,1049
53,4,318
54,4,10
55,4,60
56,4,1375
57,4,12
58,4,33
59,5,2575
60,5,2576
61,5,102
62,5,14
63,5,4
64,5,238
65,5,21
66,5,2577
67,5,12
68,5,13
69,5,11
70,6,16
71,6,134
72,6,44
73,6,53
74,6,19
75,6,22
76,6,237
77,6,12
78,6,14
79,6,113
80,6,1525
81,6,4
82,7,2578
83,7,174
84,7,1925
85,7,968
86,7,264
87,7,102
88,7,148
89,7,4
90,7,14
91,7,91
92,7,12
93,8,417
94,8,17
95,8,46
96,8,43
97,8,44
98,8,654
99,8,157
100,8,10
101,8,91
102,8,427
103,8,22
104,8,113
105,8,4
106,8,13
107,8,593
108,8,238
109,8,610
110,9,43
111,9,17
112,9,2579
113,9,25
114,9,2580
115,9,280
116,9,12
117,9,13
118,9,1151
119,9,21
120,9,35
121,10,216
122,10,13
123,10,2581
124,10,12
125,11,2
126,11,437
127,11,156
128,11,25
129,11,19
130,11,12
131,11,13
132,11,22
133,11,7
134,12,2
135,12,357
136,12,7
137,12,2582
138,12,4
139,12,40
140,12,13
141,12,12
142,12,10
143,12,21
144,12,22
145,12,287
146,13,43
147,13,7
148,13,12
149,13,13
150,13,4
151,13,14
152,13,33
153,13,36
154,13,12
155,13,131
156,13,20
157,14,156
158,14,144
159,14,363
160,14,54
161,14,34
162,14,12
163,14,37
164,14,14
165,14,102
166,14,22
167,14,290
168,15,2583
169,15,102
170,15,256
171,15,281
172,15,1017
173,15,280
174,15,427
175,15,91
176,15,116
177,16,18
178,16,10
179,16,13
180,16,33
181,16,1042
182,17,186
183,17,46
184,17,17
185,17,44
186,17,153
187,17,187
188,17,14
189,17,4
190,17,11
191,17,33
192,17,12
193,17,13
194,17,21
195,18,437
196,18,576
197,18,17
198,18,19
199,18,7
200,18,12
201,18,13
202,18,22
203,19,910
204,19,91
205,19,268
206,19,208
207,19,12
208,19,45
209,20,29
210,20,25
211,20,675
212,20,44
213,20,19
214,20,102
215,20,12
216,20,21
217,20,113
218,20,22
219,20,14
220,20,33
221,20,7
222,21,222
223,21,44
224,21,101
225,21,25
226,21,54
227,21,675
228,21,22
229,21,21
230,21,33
231,21,12
232,21,91
233,21,13
234,21,11
235,21,14
236,21,102
237,21,7
238,22,437
239,22,44
240,22,256
241,22,675
242,22,54
243,22,101
244,22,242
245,22,14
246,22,102
247,22,21
248,22,33
249,22,113
250,22,20
251,23,134
252,23,25
253,23,410
254,23,17
255,23,19
256,23,36
257,23,4
258,23,14
259,23,12
260,23,37
261,23,11
262,23,21
263,23,22
264,24,266
265,24,155
266,24,1163
267,24,156
268,24,46
269,24,17
270,24,25
271,24,12
272,24,21
273,25,2584
274,25,577
275,25,4
276,25,95
277,25,394
278,25,2585
279,25,12
280,25,91
281,25,397
282,26,1077
283,26,396
284,26,102
285,26,10
286,26,105
287,26,33
288,26,5
289,26,12
290,27,799
291,27,2
292,27,12
293,27,10
294,27,102
295,27,33
296,27,5
297,27,105
298,28,24
299,28,43
300,28,284
301,28,530
302,28,15
303,28,149
304,28,25
305,28,219
306,28,17
307,28,44
308,28,2586
309,28,578
310,28,12
311,28,13
312,28,22
313,28,10
314,29,46
315,29,530
316,29,2011
317,29,18
318,29,160
319,29,4
320,29,95
321,29,190
322,29,325
323,29,21
324,30,2587
325,30,2
326,30,351
327,30,256
328,30,506
329,30,12
330,30,37
331,30,91
332,30,10
333,30,33
334,31,547
335,31,14
336,31,4
337,31,36
338,31,12
339,31,11
340,31,10
341,31,91
342,31,116
343,31,13
344,31,22
345,31,34
346,32,145
347,32,13
348,32,12
349,32,838
350,32,102
351,32,10
352,32,91
353,32,11
354,32,33
355,32,21
356,32,14
357,32,4
358,32,45
359,33,742
360,33,265
361,33,437
362,33,1605
363,33,1294
364,33,4
365,33,174
366,33,1657
367,33,12
368,33,238
369,33,13
370,33,167
371,33,95
372,34,166
373,34,437
374,34,391
375,34,20
376,34,45
377,34,12
378,34,13
379,34,91
380,34,21
381,34,214
382,35,17
383,35,46
384,35,379
385,35,44
386,35,51
387,35,219
388,35,15
389,35,43
390,35,128
391,35,25
392,35,220
393,35,963
394,35,686
395,35,12
396,35,10
397,35,13
398,35,14
399,35,129
400,35,11
401,35,4
402,35,20
403,35,476
404,36,739
405,36,36
406,36,2
407,36,19
408,36,7
409,36,11
410,36,13
411,36,12
412,36,116
413,36,22
414,36,4
415,36,14
416,36,1997
417,36,393
418,36,33
419,37,2588
420,37,577
421,37,12
422,37,895
423,37,85
424,37,21
425,38,43
426,38,14
427,38,4
428,38,10
429,38,11
430,38,55
431,38,7
432,39,218
433,39,147
434,39,24
435,39,149
436,39,2589
437,39,303
438,39,2305
439,39,2025
440,39,958
441,39,138
442,39,91
443,39,2590
444,40,2096
445,40,12
446,40,121
447,40,1427
448,40,306
449,40,238
450,40,91
451,40,17
452,40,558
453,40,181
454,40,264
455,40,95
456,40,2591
457,41,519
458,41,799
459,41,14
460,41,190
461,41,12
462,41,13
463,41,102
464,41,2577
465,41,1224
466,41,318
467,41,33
468,41,21
469,41,22
470,41,1813
471,42,1208
472,42,2541
473,42,19
474,42,12
475,42,280
476,42,13
477,43,145
478,43,24
479,43,556
480,43,12
481,43,13
482,43,277
483,43,45
484,43,427
485,43,113
486,44,44
487,44,62
488,44,25
489,44,79
490,44,102
491,44,14
492,44,318
493,44,91
494,44,347
495,44,397
496,44,22
497,45,1398
498,45,44
499,45,14
500,45,4
501,45,113
502,45,33
503,45,13
504,45,22
505,45,102
506,45,1411
507,45,7
508,46,25
509,46,43
510,46,125
511,46,7
512,46,12
513,46,13
514,46,4
515,46,14
516,46,318
517,46,33
518,46,22
519,46,91
520,47,222
521,47,347
522,47,55
523,47,14
524,47,33
525,47,247
526,47,4
527,47,142
528,48,959
529,48,91
530,48,22
531,49,72
532,49,4
533,49,10
534,49,116
535,49,91
536,49,13
537,49,33
538,49,247
539,49,142
540,49,55
541,50,1147
542,50,737
543,50,1262
544,50,2592
545,50,12
546,50,898
547,50,21
548,51,847
549,51,18
550,51,14
551,51,116
552,51,10
553,51,33
554,51,12
555,51,13
556,52,330
557,52,2593
558,52,4
559,52,868
560,52,2363
561,52,1468
562,52,2594
563,52,21
564,52,102
565,52,2595
566,52,383
567,52,148
568,52,91
569,52,238
570,53,578
571,53,1104
572,53,4
573,53,14
574,53,10
575,53,91
576,53,11
577,54,264
578,54,414
579,54,81
580,54,329
581,54,10
582,54,14
583,54,22
584,54,91
585,54,4
586,54,128
587,54,28
588,55,437
589,55,26
590,55,4
591,55,12
592,55,13
593,55,33
594,55,21
595,56,79
596,56,270
597,56,1386
598,56,156
599,56,83
600,56,103
601,56,148
602,56,34
603,56,12
604,56,37
605,56,14
606,56,11
607,57,122
608,57,181
609,57,102
610,57,281
611,57,2596
612,57,1328
613,58,51
614,58,2
615,58,268
616,58,10
617,58,567
618,58,12
619,58,91
620,58,33
621,59,51
622,59,36
623,59,10
624,59,60
625,59,13
626,59,1582
627,59,623
628,59,313
629,59,21
630,60,40
631,60,606
632,60,91
633,60,10
634,60,245
635,61,24
636,61,578
637,61,2
638,61,219
639,61,441
640,61,16
641,61,530
642,61,284
643,61,17
644,61,184
645,61,12
646,61,13
647,61,22
648,62,547
649,62,102
650,62,1479
651,62,113
652,63,29
653,63,26
654,63,691
655,63,2
656,63,17
657,63,1608
658,63,2597
659,63,445
660,63,430
661,63,2598
662,63,20
663,63,13
664,63,91
665,63,12
666,63,11
667,63,14
668,63,427
669,63,21
670,63,36
671,63,277
672,64,1208
673,64,1254
674,64,628
675,64,315
676,64,14
677,64,113
678,64,7
679,65,1208
680,65,266
681,65,700
682,65,241
683,65,12
684,65,427
685,65,7
686,66,77
687,66,2599
688,66,264
689,66,12
690,66,11
691,66,21
692,66,4
693,66,44
694,66,13
695,66,14
696,66,128
697,67,77
698,67,44
699,67,4
700,67,14
701,67,128
702,67,11
703,67,13
704,67,12
705,67,21
706,68,77
707,68,2600
708,68,264
709,68,44
710,68,4
711,68,14
712,68,11
713,68,128
714,68,13
715,68,12
716,68,21
717,69,437
718,69,588
719,69,438
720,69,54
721,69,22
722,69,427
723,69,113
724,69,12
725,69,4
726,69,13
727,69,45
728,69,91
729,69,21
730,69,102
731,69,33
732,70,2601
733,70,102
734,70,14
735,70,4
736,70,1001
737,70,247
738,71,1398
739,71,2602
740,71,25
741,71,237
742,71,91
743,71,10
744,71,4
745,71,523
746,72,2081
747,72,2602
748,72,25
749,72,237
750,72,91
751,72,10
752,72,4
753,72,523
754,73,578
755,73,1104
756,73,286
757,73,737
758,73,1049
759,73,4
760,73,1055
761,73,105
762,73,10
763,73,91
764,73,33
765,73,12
766,74,19
767,74,125
768,74,125
769,74,256
770,74,34
771,74,12
772,74,324
773,74,22
774,74,237
775,74,91
776,74,21
777,75,253
778,75,959
779,75,101
780,75,19
781,75,4
782,75,102
783,75,45
784,75,91
785,75,116
786,75,299
787,75,12
788,75,13
789,76,911
790,76,19
791,76,4
792,76,12
793,76,22
794,76,7
795,76,44
796,76,101
797,76,102
798,76,33
799,76,994
800,76,287
801,76,91
802,76,116
803,77,292
804,77,43
805,77,256
806,77,257
807,77,102
808,77,14
809,77,112
810,77,12
811,77,91
812,77,13
813,77,33
814,77,11
815,77,22
816,77,7
817,78,330
818,78,521
819,78,190
820,78,256
821,78,102
822,78,257
823,78,12
824,78,2603
825,79,43
826,79,292
827,79,22
828,79,256
829,79,12
830,79,91
831,79,257
832,79,13
833,79,102
834,79,33
835,79,14
836,79,11
837,79,101
838,79,7
839,80,222
840,80,1025
841,80,101
842,80,13
843,80,33
844,80,4
845,80,21
846,80,102
847,80,11
848,80,91
849,80,12
850,80,7
851,81,2
852,81,19
853,81,34
854,81,12
855,81,10
856,81,397
857,81,22
858,81,128
859,82,355
860,82,1020
861,82,14
862,82,11
863,82,318
864,82,22
865,82,4
866,82,320
867,82,1523
868,83,428
869,83,1036
870,83,14
871,83,102
872,83,45
873,84,1036
874,84,2
875,84,22
876,84,12
877,84,45
878,85,1531
879,85,24
880,85,156
881,85,2604
882,85,523
883,85,2605
884,85,318
885,85,7
886,85,12
887,85,13
888,85,287
889,85,91
890,85,280
891,85,102
892,85,14
893,86,2606
894,86,167
895,86,1530
896,86,12
897,86,37
898,86,55
899,86,4
900,86,36
901,86,33
902,86,21
903,86,509
904,87,134
905,87,43
906,87,679
907,87,40
908,87,156
909,87,908
910,87,25
911,87,54
912,87,13
913,87,1328
914,87,11
915,87,299
916,87,10
917,87,318
918,87,45
919,88,1837
920,88,473
921,88,25
922,88,54
923,88,44
924,88,2607
925,88,12
926,88,37
927,88,21
928,88,14
929,88,4
930,88,509
931,88,33
932,88,128
933,89,1177
934,89,104
935,89,25
936,89,54
937,89,44
938,89,638
939,89,12
940,89,37
941,89,21
942,89,14
943,89,4
944,89,509
945,89,33
946,89,128
947,90,1393
948,90,264
949,90,43
950,90,14
951,90,21
952,90,12
953,90,91
954,91,241
955,91,46
956,91,437
957,91,181
958,91,57
959,91,19
960,91,14
961,91,11
962,91,12
963,91,21
964,91,22
965,91,33
966,92,573
967,92,42
968,92,12
969,92,13
970,92,128
971,92,22
972,93,328
973,93,700
974,93,147
975,93,2162
976,93,223
977,93,12
978,93,104
979,93,55
980,93,37
981,93,13
982,94,2608
983,94,2609
984,94,14
985,94,1334
986,94,12
987,95,24
988,95,605
989,95,1965
990,95,1608
991,95,2
992,95,17
993,95,12
994,95,13
995,95,280
996,96,178
997,96,19
998,96,366
999,96,13
1000,96,284
1001,96,12
1002,96,2610
1003,96,287
1004,96,1261
1005,96,20
1006,96,17
1007,97,1337
1008,97,558
1009,97,17
1010,97,2611
1011,97,91
1012,97,12
1013,97,242
1014,97,19
1015,97,2581
1016,97,13
1017,98,2
1018,98,181
1019,98,54
1020,98,103
1021,98,104
1022,98,10
1023,98,12
1024,98,13
1025,98,11
1026,98,22
1027,98,116
1028,98,7
1029,99,1065
1030,99,19
1031,99,105
1032,99,103
1033,99,101
1034,99,14
1035,99,128
1036,100,575
1037,100,26
1038,100,94
1039,100,256
1040,100,102
1041,100,620
1042,100,2612
1043,100,2613
1044,100,14
1045,100,623
1046,100,696
1047,100,12
1048,100,21
1049,101,43
1050,101,2614
1051,101,91
1052,101,927
1053,101,7
1054,101,2615
1055,101,238
1056,101,2616
1057,101,95
1058,102,101
1059,102,34
1060,102,10
1061,102,14
1062,102,11
1063,102,4
1064,102,183
1065,102,2108
1066,103,303
1067,103,17
1068,103,26
1069,103,44
1070,103,679
1071,103,427
1072,103,12
1073,103,13
1074,103,113
1075,103,28
1076,103,20
1077,104,959
1078,104,316
1079,104,1243
1080,104,91
1081,104,1361
1082,105,2617
1083,105,255
1084,105,40
1085,105,968
1086,105,696
1087,105,14
1088,105,106
1089,105,12
1090,105,91
1091,105,1836
1092,105,21
1093,106,942
1094,106,25
1095,106,144
1096,106,1088
1097,106,149
1098,106,125
1099,106,7
1100,106,91
1101,106,13
1102,106,12
1103,106,37
1104,106,10
1105,106,22
1106,107,284
1107,107,4
1108,107,95
1109,107,33
1110,108,284
1111,108,4
1112,108,95
1113,108,33
1114,108,12
1115,108,13
1116,108,11
1117,108,20
1118,108,14
1119,108,287
1120,108,21
1121,109,156
1122,109,14
1123,109,12
1124,109,11
1125,110,284
1126,110,14
1127,110,290
1128,110,12
1129,110,45
1130,110,116
1131,111,14
1132,111,4
1133,111,102
1134,111,369
1135,111,318
1136,111,91
1137,111,12
1138,111,280
1139,111,21
1140,111,238
1141,112,117
1142,112,22
1143,112,91
1144,112,14
1145,112,318
1146,112,4
1147,112,102
