,recipe_id,ingredient
0,0,154
1,0,19
2,0,34
3,0,12
4,0,14
5,0,11
6,1,271
7,1,222
8,1,19
9,1,34
10,1,12
11,1,4
12,1,14
13,1,11
14,1,21
15,2,1070
16,2,243
17,2,169
18,2,19
19,2,303
20,2,91
21,2,177
22,3,18
23,3,399
24,3,83
25,3,12
26,3,37
27,3,4
28,3,14
29,3,101
30,3,11
31,3,33
32,3,22
33,3,5
34,3,45
35,3,91
36,4,16
37,4,407
38,4,12
39,4,10
40,4,14
41,4,102
42,4,11
43,4,22
44,4,91
45,4,45
46,5,166
47,5,410
48,5,218
49,5,34
50,5,12
51,5,60
52,5,4
53,5,14
54,5,102
55,5,55
56,5,11
57,5,116
58,6,146
59,6,2787
60,6,12
61,6,10
62,6,60
63,6,4
64,6,14
65,6,55
66,6,129
67,6,101
68,6,113
69,7,973
70,7,252
71,7,174
72,7,12
73,7,4
74,7,14
75,7,320
76,8,467
77,8,1592
78,8,12
79,8,14
80,8,116
81,8,33
82,8,22
83,8,4
84,8,359
85,8,125
86,8,19
87,8,45
88,8,320
89,8,142
90,8,91
91,9,19
92,9,1070
93,9,178
94,9,687
95,9,12
96,9,2509
97,9,8
98,9,177
99,9,1391
100,10,1070
101,10,418
102,10,19
103,10,12
104,10,177
105,10,91
106,11,151
107,11,363
108,11,12
109,11,55
110,11,45
111,11,91
112,12,1069
113,12,1070
114,12,469
115,12,168
116,12,19
117,12,180
118,12,178
119,12,12
120,12,177
121,12,91
122,13,687
123,13,241
124,13,216
125,13,1281
126,13,94
127,13,19
128,13,329
129,13,12
130,13,13
131,13,11
132,13,320
133,13,20
134,13,91
135,14,80
136,14,19
137,14,37
138,14,4
139,14,14
140,14,102
141,14,55
142,14,101
143,14,11
144,14,22
145,14,104
146,14,91
147,14,45
148,15,547
149,15,521
150,15,19
151,15,12
152,15,37
153,15,4
154,15,14
155,15,102
156,15,55
157,15,101
158,15,11
159,15,22
160,15,104
161,15,45
162,16,94
163,16,12
164,16,55
165,17,2113
166,17,993
167,17,473
168,17,12
169,17,13
170,17,14
171,17,102
172,17,101
173,17,58
174,17,290
175,18,256
176,18,618
177,18,507
178,18,369
179,18,102
180,18,1042
181,18,199
182,18,2788
183,18,177
184,19,883
185,19,154
186,19,12
187,19,14
188,19,11
189,20,473
190,20,12
191,20,45
192,21,399
193,21,12
194,21,33
195,21,175
196,21,45
197,22,53
198,22,241
199,22,12
200,22,45
201,23,166
202,23,1075
203,23,1183
204,23,37
205,23,14
206,23,104
207,23,4
208,23,45
209,23,209
210,23,21
211,23,290
212,23,91
213,24,2789
214,24,138
215,24,204
216,24,20
217,24,91
218,24,45
219,25,166
220,25,369
221,25,12
222,25,60
223,25,14
224,25,116
225,25,4
226,25,45
227,26,241
228,26,53
229,26,54
230,26,19
231,26,882
232,26,144
233,26,12
234,26,37
235,26,318
236,26,320
237,26,45
238,27,51
239,27,292
240,27,34
241,27,12
242,27,60
243,27,14
244,27,129
245,27,11
246,27,347
247,27,884
248,27,277
249,28,467
250,28,256
251,28,125
252,28,12
253,28,37
254,28,14
255,28,102
256,28,129
257,28,318
258,28,4
259,28,45
260,28,263
261,28,823
262,28,91
263,29,355
264,29,24
265,29,12
