,recipe_id,ingredient
0,0,106
1,0,10
2,0,238
3,0,40
4,0,14
5,0,101
6,0,104
7,0,91
8,0,895
9,1,300
10,1,102
11,1,14
12,1,290
13,1,101
14,1,10
15,1,91
16,1,33
17,1,268
18,1,58
19,2,533
20,2,17
21,2,16
22,2,25
23,2,271
24,2,113
25,2,12
26,2,13
27,2,22
28,3,84
29,3,19
30,3,12
31,3,85
32,3,4
33,3,14
34,3,725
35,3,33
36,3,523
37,3,237
38,3,1481
39,4,1516
40,4,533
41,4,4
42,4,14
43,4,12
44,4,37
45,4,11
46,4,22
47,4,91
48,4,10
49,5,40
50,5,1416
51,5,437
52,5,2461
53,5,44
54,5,688
55,5,280
56,5,4
57,5,13
58,5,12
59,5,421
60,5,22
61,5,20
62,6,46
63,6,16
64,6,17
65,6,437
66,6,271
67,6,19
68,6,22
69,6,4
70,6,113
71,6,12
72,6,13
73,6,20
74,6,28
75,7,1161
76,7,524
77,7,1088
78,7,4
79,7,350
80,7,148
81,7,21
82,7,397
83,8,42
84,8,238
85,8,104
86,8,22
87,8,20
88,8,4
89,8,14
90,8,102
91,8,116
92,8,280
93,8,287
94,8,12
95,8,10
96,8,444
97,8,502
98,8,91
99,9,1046
100,9,437
101,9,25
102,9,174
103,9,19
104,9,255
105,9,12
106,9,13
107,9,320
108,9,238
109,9,105
110,10,60
111,10,4
112,10,14
113,10,113
114,10,4
115,11,428
116,11,2
117,11,22
118,11,34
119,11,91
120,11,12
121,11,13
122,11,10
123,11,11
124,11,4
125,11,14
126,12,2801
127,12,664
128,12,254
129,12,20
130,12,401
131,12,13
132,12,91
133,12,280
134,12,10
135,12,95
136,12,12
137,12,4
138,12,14
139,13,829
140,13,19
141,13,576
142,13,7
143,13,12
144,13,13
145,13,4
146,13,14
147,13,102
148,13,11
149,13,33
150,13,237
151,13,418
152,13,91
153,14,321
154,14,19
155,14,664
156,14,12
157,14,13
158,14,4
159,14,14
160,14,280
161,14,23
162,14,1437
163,14,287
164,14,20
165,14,444
166,15,467
167,15,2361
168,15,17
169,15,43
170,15,19
171,15,277
172,15,20
173,15,245
174,15,427
175,15,4
176,15,280
177,15,12
178,15,13
179,15,22
180,15,28
181,15,21
182,16,2802
183,16,285
184,16,2803
185,16,4
186,16,14
187,16,280
188,16,13
189,16,444
190,17,1476
191,17,303
192,17,577
193,17,1557
194,17,12
195,17,37
196,17,28
197,17,4
198,18,218
199,18,303
200,18,577
201,18,418
202,18,12
203,18,37
204,18,28
205,18,4
206,19,284
207,19,157
208,19,237
209,19,91
210,19,142
211,19,257
212,19,12
213,19,11
214,19,116
215,19,10
216,20,16
217,20,872
218,20,95
219,20,54
220,20,25
221,20,12
222,20,21
223,20,22
224,20,19
225,20,33
